DATE,OPEN,HIGH,LOW,CLOSE,Volume
2019-11-05,23118.79,23215.48,23090.94,23198.77,422624
2019-11-01,22730.49,22852.72,22705.6,22850.77,654069
2019-10-31,22910.1,22988.8,22875.5,22927.04,783151
2019-10-30,22953.17,22961.23,22827.93,22843.12,1015705
2019-10-29,22950.79,23008.43,22935.35,22974.13,728983
2019-10-28,22854.44,22896.22,22830.57,22867.27,481227
2019-10-25,22753.24,22819.92,22715.13,22799.81,571580
2019-10-24,22725.44,22780.99,22704.33,22750.6,612706
2019-10-23,22619.77,22648.81,22457.89,22625.38,680221
2019-10-21,22541.22,22581.28,22515.73,22548.9,484204
2019-10-18,22528.56,22649.85,22466.26,22492.68,592377
2019-10-17,22451.15,22522.39,22424.92,22451.86,578286
2019-10-16,22479.57,22615.47,22434.35,22472.92,787213
2019-10-15,22063.71,22219.63,22049.71,22207.21,744614
2019-10-11,21749.93,21820.77,21658.27,21798.87,673993
2019-10-10,21456.27,21601.46,21308.88,21551.98,599286
2019-10-09,21359.84,21467.77,21359.84,21456.38,554125
2019-10-08,21494.48,21629.24,21483.18,21587.78,607852
2019-10-07,21445.73,21475.28,21328.26,21375.25,474433
2019-10-04,21316.18,21410.2,21276.01,21410.2,577497
2019-10-03,21422.22,21437.74,21277.36,21341.74,677107
2019-10-02,21744.62,21795.01,21725.23,21778.61,633258
2019-10-01,21831.44,21938.77,21811.98,21885.24,623264
2019-09-30,21793.83,21811.98,21666.6,21755.84,698595
2019-09-27,21934.93,21955.79,21733.69,21878.9,763944
2019-09-26,22160.52,22184.91,21986.24,22048.24,816312
2019-09-25,21961.82,22036.48,21906,22020.15,616056
2019-09-24,22095.35,22168.74,22077.94,22098.84,683763
2019-09-20,22130.74,22204.75,22047.9,22079.09,850326
2019-09-19,22064.46,22255.56,22003.3,22044.45,781599
2019-09-18,22014.65,22027.86,21942.03,21960.71,693982
2019-09-17,21947.59,22041.08,21878.63,22001.32,815236
2019-09-13,21907.83,22019.66,21820.94,21988.29,1163181
2019-09-12,21761.09,21825.92,21743.96,21759.61,960342
2019-09-11,21466.66,21619.21,21437.82,21597.76,1101418
2019-09-10,21363.57,21438.35,21350.35,21392.1,923747
2019-09-09,21214.56,21333.51,21182.26,21318.42,578109
2019-09-06,21201.83,21241.29,21145.81,21199.57,710960
2019-09-05,20800.29,21164.61,20787.93,21085.94,829635
2019-09-04,20578.67,20694.35,20554.16,20649.14,515283
2019-09-03,20581.58,20662.23,20578.02,20625.16,453517
2019-09-02,20625.75,20667.56,20614.29,20620.19,423990
2019-08-30,20641.49,20748.35,20633.3,20704.37,719954
2019-08-29,20500.5,20520.68,20361.12,20460.93,550709
2019-08-28,20474.31,20511.21,20433.31,20479.42,514888
2019-08-27,20467.22,20529.94,20439.92,20456.08,607846
2019-08-26,20325.44,20329.01,20173.76,20261.04,698507
2019-08-23,20579.98,20719.31,20579.98,20710.91,507023
2019-08-22,20706.07,20731.19,20584.29,20628.01,546330
2019-08-21,20489.97,20626.05,20482.62,20618.57,529844
2019-08-20,20605.35,20684.06,20582.01,20677.22,501325
2019-08-19,20590.47,20633.9,20502.66,20563.16,505707
2019-08-16,20323.97,20465.71,20300.35,20418.81,584388
2019-08-15,20324.25,20419.88,20184.85,20405.65,681689
2019-08-14,20669.99,20697.42,20581.17,20655.13,609364
2019-08-13,20432.68,20503.38,20369.27,20455.44,729378
2019-08-09,20758.15,20782.06,20676.92,20684.82,657213
2019-08-08,20529.29,20682.24,20462.98,20593.35,667820
2019-08-07,20548.07,20570.19,20406.52,20516.56,758844
2019-08-06,20325.52,20607.83,20110.76,20585.31,925436
2019-08-05,20909.98,20941.83,20514.19,20720.29,884507
2019-08-02,21211.06,21211.06,20960.09,21087.16,942984
2019-08-01,21361.58,21556.69,21288.9,21540.99,780372
2019-07-31,21526.38,21589.11,21476.07,21521.53,788833
2019-07-30,21681.82,21792.98,21665.86,21709.31,562224
2019-07-29,21627.55,21652.95,21518.7,21616.8,485155
2019-07-26,21700.2,21709.74,21590.66,21658.15,490597
2019-07-25,21715.95,21823.07,21715.69,21756.55,483832
2019-07-24,21726.98,21744.88,21677.71,21709.57,526958
2019-07-23,21425.44,21686.53,21411.93,21620.88,495762
2019-07-22,21394.75,21445.03,21317.85,21416.79,483498
2019-07-19,21146.5,21474.3,21121.9,21466.99,597084
2019-07-18,21336.8,21347.84,20993.44,21046.24,723962
2019-07-17,21474.63,21488.27,21380.55,21469.18,549149
2019-07-16,21644.38,21655.52,21514.89,21535.25,513071
2019-07-12,21720.14,21720.14,21589.83,21685.9,467990
2019-07-11,21547.19,21649.93,21532.57,21643.53,510943
2019-07-10,21499.46,21601.86,21488.22,21533.48,607163
2019-07-09,21598.15,21687.29,21508.22,21565.15,555540
2019-07-08,21665.79,21672.65,21499.57,21534.35,534584
2019-07-05,21703.61,21746.38,21647.73,21746.38,461633
2019-07-04,21740.93,21755.63,21672.5,21702.45,389854
2019-07-03,21684.07,21708.72,21566.65,21638.16,567018
2019-07-02,21699.43,21784.22,21697.31,21754.27,564115
2019-07-01,21566.27,21758.34,21559.17,21729.97,689818
2019-06-28,21282.22,21324.93,21199.85,21275.92,639835
2019-06-27,21156.88,21338.17,21123.97,21338.17,632275
2019-06-26,21067.68,21129.64,21035.84,21086.59,519055
2019-06-25,21238.07,21313.77,21114.47,21193.81,556108
2019-06-24,21223.56,21317.86,21185.67,21285.99,445416
2019-06-21,21487.67,21497.82,21221.7,21258.64,918208
2019-06-20,21417.74,21491.39,21377.27,21462.86,573614
2019-06-19,21223.17,21358.72,21213.43,21333.87,660884
2019-06-18,21111.77,21153.65,20924.19,20972.71,562673
2019-06-17,21094.96,21185.25,21044.62,21124,505817
2019-06-14,21049.41,21119.73,20971.18,21116.89,623442
2019-06-13,21040.91,21111.23,20932.13,21032,677077
