DATE,OPEN,HIGH,LOW,CLOSE,Volume
2019-09-20,6460,6530,6390,6440,98200
2019-09-19,6330,6510,6300,6380,101800
2019-09-18,6290,6300,6160,6280,67100
2019-09-17,6160,6280,6120,6230,55600
2019-09-13,6390,6390,6120,6210,92300
2019-09-12,6260,6360,6240,6340,57400
2019-09-11,6170,6280,6100,6270,60700
2019-09-10,6480,6500,6180,6190,108800
2019-09-09,6410,6520,6310,6490,71700
2019-09-06,6500,6570,6370,6410,81800
2019-09-05,6480,6490,6390,6470,86500
2019-09-04,6450,6550,6370,6450,72300
2019-09-03,6400,6490,6330,6480,115400
2019-09-02,6320,6410,6250,6300,100500
2019-08-30,6150,6300,6140,6220,113300
2019-08-29,6050,6120,5900,6070,88000
2019-08-28,6130,6210,6010,6100,80400
2019-08-27,6150,6240,6070,6180,96700
2019-08-26,6040,6120,6000,6020,116900
2019-08-23,6110,6270,6110,6240,90200
2019-08-22,6300,6390,6060,6130,175300
2019-08-21,6520,6520,6190,6270,261500
2019-08-20,6350,6580,6300,6580,131500
2019-08-19,6250,6430,6240,6330,92900
2019-08-16,6340,6340,6140,6240,110600
2019-08-15,6210,6320,6180,6280,149100
2019-08-14,6450,6510,6260,6450,152200
2019-08-13,6370,6490,6240,6400,118100
2019-08-09,6920,6920,6420,6470,411000
2019-08-08,7120,7230,6940,7000,229600
2019-08-07,7300,7330,7040,7050,194000
2019-08-06,7050,7350,7010,7290,194000
2019-08-05,7350,7370,7110,7260,253400
2019-08-02,7240,7350,7190,7230,164800
2019-08-01,7270,7470,7240,7310,220400
2019-07-31,6720,7400,6720,7360,827300
2019-07-30,6700,6810,6400,6520,240900
2019-07-29,6700,6810,6580,6690,143800
2019-07-26,6650,6730,6540,6660,123900
2019-07-25,6700,6810,6680,6750,97800
2019-07-24,6770,6800,6600,6700,119800
2019-07-23,6640,6830,6550,6810,153100
2019-07-22,6700,6880,6610,6640,197600
2019-07-19,6400,6700,6400,6650,338200
2019-07-18,6320,6430,6270,6360,132100
2019-07-17,6300,6430,6200,6410,152900
2019-07-16,6180,6420,6100,6350,223500
2019-07-12,6270,6360,6200,6260,129000
2019-07-11,6220,6340,6130,6200,116300
2019-07-10,5920,6180,5890,6140,114100
2019-07-09,6070,6090,5890,5960,147700
2019-07-08,6340,6390,6020,6040,133200
2019-07-05,6200,6330,6130,6280,105100
2019-07-04,6190,6250,6010,6240,136100
2019-07-03,6100,6330,6060,6190,255300
2019-07-02,5930,6200,5930,6050,221900
2019-07-01,5880,6010,5750,6000,253000
2019-06-28,6050,6070,5810,5820,297700
2019-06-27,6390,6390,5780,6120,618200
2019-06-26,6420,6640,6360,6570,142300
2019-06-25,6600,6600,6330,6460,179900
2019-06-24,6770,6840,6580,6630,179800
2019-06-21,6820,6970,6600,6640,272700
2019-06-20,6820,7030,6820,6900,313000
2019-06-19,6750,6920,6690,6760,236300
2019-06-18,6620,6790,6560,6650,246600
2019-06-17,6480,6770,6470,6570,412400
2019-06-14,6130,6450,6120,6380,348600
2019-06-13,5980,6030,5910,6030,89100
2019-06-12,5920,6080,5880,6020,118100
2019-06-11,5790,6040,5700,5930,182000
2019-06-10,5680,5780,5580,5780,130100
2019-06-07,5550,5600,5400,5580,185800
2019-06-06,5730,5760,5530,5560,161600
2019-06-05,5860,5890,5600,5690,187300
2019-06-04,6190,6190,5610,5660,326700
2019-06-03,6170,6240,6040,6160,143600
2019-05-31,6200,6360,6120,6250,188100
2019-05-30,6380,6560,6190,6300,275400
2019-05-29,6320,6530,6250,6480,350100
2019-05-28,6150,6280,6020,6280,202000
2019-05-27,6020,6190,5960,6110,206200
2019-05-24,5850,5980,5740,5980,184900
2019-05-23,5800,5950,5780,5900,153700
2019-05-22,5920,5950,5710,5830,190800
2019-05-21,5510,5870,5490,5770,255900
2019-05-20,5410,5520,5370,5500,118500
2019-05-17,5410,5490,5360,5380,88800
2019-05-16,5510,5510,5320,5350,142100
2019-05-15,5450,5560,5430,5550,123900
2019-05-14,5200,5440,5070,5400,171700
2019-05-13,5580,5580,5360,5360,84800
2019-05-10,5510,5640,5430,5540,173100
2019-05-09,5530,5640,5460,5520,213000
2019-05-08,5400,5750,5370,5520,543200
2019-05-07,5210,5430,5150,5430,859500
2019-04-26,4665,4770,4515,4725,283100
2019-04-25,4570,4690,4550,4645,271900
2019-04-24,4490,4550,4425,4500,144700
2019-04-23,4535,4565,4440,4475,129100
2019-04-22,4540,4575,4470,4550,83100
2019-04-19,4440,4590,4440,4570,71700
2019-04-18,4640,4640,4425,4455,135500
2019-04-17,4490,4635,4490,4600,159600
2019-04-16,4480,4510,4465,4485,76800
2019-04-15,4475,4545,4460,4500,114300
2019-04-12,4500,4500,4410,4430,93100
2019-04-11,4465,4515,4445,4465,83500
2019-04-10,4535,4600,4445,4500,118700
2019-04-09,4700,4725,4520,4550,176500
2019-04-08,4815,4845,4740,4750,84900
2019-04-05,4870,4885,4805,4825,81600
2019-04-04,4915,5040,4885,4885,99600
2019-04-03,4780,4920,4700,4890,162500
2019-04-02,4935,4945,4660,4680,158700
2019-04-01,5090,5130,4895,4900,162600
2019-03-29,5130,5220,5000,5040,93900
2019-03-28,5100,5100,4985,5060,114500
2019-03-27,5120,5230,5110,5120,87200
2019-03-26,5100,5140,4990,5040,157400
2019-03-25,5190,5190,5020,5060,173100
2019-03-22,5430,5430,5230,5340,97900
2019-03-20,5520,5540,5350,5410,94900
2019-03-19,5450,5590,5320,5550,137900
2019-03-18,5260,5470,5190,5420,129800
2019-03-15,5170,5270,5150,5180,76000
2019-03-14,5360,5390,5230,5240,44100
2019-03-13,5210,5280,5140,5260,65600
2019-03-12,5200,5320,5200,5310,73300
2019-03-11,5210,5210,4950,5100,88400
2019-03-08,5370,5390,5040,5150,135600
2019-03-07,5530,5590,5470,5520,80300
2019-03-06,5490,5620,5400,5570,75000
2019-03-05,5460,5600,5460,5530,87900
2019-03-04,5450,5550,5410,5460,107900
2019-03-01,5180,5450,5140,5430,159400
2019-02-28,5260,5260,5100,5110,117200
2019-02-27,5360,5390,5310,5360,43400
2019-02-26,5400,5470,5250,5340,98900
2019-02-25,5230,5410,5230,5300,128300
2019-02-22,5320,5350,5150,5200,266700
2019-02-21,5520,5530,5290,5330,178800
2019-02-20,5580,5670,5510,5610,78700
2019-02-19,5490,5540,5400,5500,57800
2019-02-18,5500,5550,5410,5520,71200
2019-02-15,5470,5480,5320,5360,89700
2019-02-14,5580,5660,5520,5580,70500
2019-02-13,5520,5760,5520,5560,161500
2019-02-12,5350,5580,5310,5420,188200
2019-02-08,5490,5620,5230,5300,227100
2019-02-07,5780,5800,5620,5690,210500
2019-02-06,5600,5840,5600,5830,257000
2019-02-05,5580,5600,5380,5580,181200
2019-02-04,5400,5530,5350,5530,199500
2019-02-01,4965,5340,4950,5260,339000
2019-01-31,5540,5600,4785,5010,935900
2019-01-30,4915,5080,4830,5040,306600
2019-01-29,4730,4955,4715,4915,190800
