,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,OPEN_A,CLOSE_A,AXIS_LOT_SIZE,TRADE_A,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,OPEN_B,CLOSE_B,PAIR_LOT_SIZE,TRADE_B,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y,SIGMA,ABS_SIGMA,LAST_DAY_SIGMA,DEV_RATE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times,open_days,stop_profit_times,stop_loss_times,max_day_over_times,DATE_3M_ago,CLOSE_A_3M_ago,CLOSE_B_3M_ago,DATE_6M_ago,CLOSE_A_6M_ago,CLOSE_B_6M_ago,DATE_1y_ago,CLOSE_A_1y_ago,CLOSE_B_1y_ago,DATE_2y_ago,CLOSE_A_2y_ago,CLOSE_B_2y_ago
558,6269,三井海洋開発,機械,1470.0,1434.0,700,BUY,9474,ゼンリン,情報・通信業,1213.0,1195.0,800,SELL,0.7326085483239992,0.9565420348127026,0.31930238395220756,0.014580490734572314,-0.7074083703254951,0.7074083703254951,0.33654446911562336,-5.03,4.76,1245980.0,83065.0,4.31,15,14,1,93.33,14.0,9,0,6,2020/03/29,1331.0,1117.0,2019/12/29,2665.0,1820.0,2019/06/29,3090.0,1979.0,2018/06/29,3045.0,2589.0
3299,3105,日清紡ホールディングス,電気機器,781.0,776.0,1300,BUY,9715,トランス・コスモス,サービス業,2544.0,2541.0,400,SELL,0.828065232517085,0.8860527973972813,0.3582778413163442,0.0842855507610949,-1.6067610472947274,1.6067610472947274,1.2617043212738084,-13.89,0.75,1171218.0,68895.0,3.47,17,13,4,76.47,15.0,7,1,9,2020/03/29,730.0,1916.0,2019/12/29,1045.0,2968.0,2019/06/29,844.0,2456.0,2018/06/29,1164.0,2590.0
3938,3563,スシローグローバルホールディングス,小売業,2360.0,2387.0,400,SELL,6952,カシオ計算機,電気機器,1806.0,1783.0,500,BUY,0.8486539864763724,0.8588224037966687,0.26888211911392257,0.082315876853715,1.5053748662770674,1.5053748662770674,1.2383175318654704,15.13,6.63,1118078.0,46587.0,2.24,24,16,8,66.67,16.0,11,2,11,2020/03/29,1537.0,1512.0,2019/12/29,2343.0,2191.0,2019/06/29,1593.0,1365.0,2018/06/29,1600.0,1774.0
4009,8919,カチタス,不動産業,2479.0,2482.0,400,SELL,9076,セイノーホールディングス,陸運業,1404.0,1410.0,700,BUY,0.9265870748767455,0.8555300970972008,0.21602286091714273,0.06729158569927508,0.8109246571138174,0.8109246571138174,0.9139000823634328,9.05,0.58,1023843.0,60226.0,3.01,17,13,4,76.47,15.0,9,3,5,2020/03/29,1638.0,1224.0,2019/12/29,2408.0,1477.0,2019/06/29,2063.0,1492.0,2018/06/29,1965.0,1922.0
3507,8905,イオンモール,不動産業,1389.0,1390.0,700,BUY,9715,トランス・コスモス,サービス業,2544.0,2541.0,400,SELL,0.856601500746074,0.8772622131037244,0.07012203186758065,0.006691442142720688,-1.7124908718817746,1.7124908718817746,1.6820166239812755,-20.94,4.27,1018355.0,78335.0,4.04,13,12,1,92.31,16.0,8,0,5,2020/03/29,1404.0,1916.0,2019/12/29,1938.0,2968.0,2019/06/29,1653.0,2456.0,2018/06/29,1950.0,2590.0
2796,6925,ウシオ電機,電気機器,1339.0,1427.0,600,SELL,7164,全国保証,その他金融業,4080.0,4095.0,200,BUY,0.8832315980963603,0.9036601092566325,0.41373567735048344,0.049232224020515226,0.4692793792151436,0.4692793792151436,0.5029700173710261,3.24,4.54,1003301.0,55739.0,2.98,18,15,3,83.33,18.0,8,0,10,2020/03/29,1060.0,3525.0,2019/12/29,1624.0,4650.0,2019/06/29,1435.0,4210.0,2018/06/29,1385.0,4985.0
2260,3231,野村不動産ホールディングス,不動産業,1918.0,1914.0,500,BUY,7186,コンコルディア・フィナンシャルグループ,銀行業,353.0,347.0,2800,SELL,0.9351140401744921,0.9180270799212703,0.1775233693911472,0.06470157409635045,-0.4792606441681274,0.4792606441681274,0.5250823021816264,-3.56,1.53,988902.0,52047.0,2.57,19,15,4,78.95,18.0,6,2,11,2020/03/29,1783.0,340.0,2019/12/29,2620.0,452.0,2019/06/29,2371.0,412.0,2018/06/29,2431.0,553.0
1809,4091,大陽日酸,化学,1721.0,1751.0,600,BUY,6183,ベルシステム２４ホールディングス,サービス業,1372.0,1371.0,800,SELL,0.8260607770182818,0.9297596359878818,0.025771003482193324,0.01483841040573986,-1.3343650175054342,1.3343650175054342,1.5137684666131694,-9.92,4.4,978305.0,46586.0,2.32,21,16,5,76.19,16.0,10,2,9,2020/03/29,1662.0,1152.0,2019/12/29,2428.0,1720.0,2019/06/29,2285.0,1520.0,2018/06/29,1526.0,1850.0
908,6135,牧野フライス製作所,機械,3260.0,3240.0,300,BUY,6183,ベルシステム２４ホールディングス,サービス業,1372.0,1371.0,700,SELL,0.9081060186467386,0.9492413143388518,0.02167511847648185,0.00392514783312432,-1.2300133617431368,1.2300133617431368,0.9715000355289659,-7.34,1.27,976252.0,48813.0,2.59,20,16,4,80.0,15.0,11,3,6,2020/03/29,2794.0,1152.0,2019/12/29,5020.0,1720.0,2019/06/29,4630.0,1520.0,2018/06/29,4185.0,1850.0
1107,3086,Ｊ．フロント　リテイリング,小売業,795.0,758.0,1400,BUY,4849,エン・ジャパン,サービス業,2773.0,2667.0,400,SELL,0.7381261498920844,0.9454927132286796,0.28685499774056955,0.044283825401889874,-1.3280482193907046,1.3280482193907046,1.334605045046244,-25.03,0.52,976038.0,69717.0,3.41,14,11,3,78.57,14.0,8,2,4,2020/03/29,907.0,2100.0,2019/12/29,1530.0,4775.0,2019/06/29,1244.0,4265.0,2018/06/29,1630.0,5350.0
