 発表日, 時刻, 決算, 連単, コード, 銘柄, 市場, 業種, 時価総額
 12/17, -, 2Q, 連,2678, アスクル, 東1, 小売業," 1,642"
 12/17, -, 本, 単,8956, プレミア投, 東証, ETF・REIT等," 2,032"
 12/18, -, 本, 連,2315, カイカ, JQ, 情報・通信業, 97
 12/18, -, 2Q, 連,3391, ツルハHD, 東1, 小売業," 6,320"
 12/18, -, 2Q, 連,6905, コーセル, 東1, 電気機器, 472
 12/19, -, 本, 単,3308, 日ヘルスケア, 東証, ETF・REIT等, 153
 12/20, -, 2Q, 連,3544, サツドラHD, 東1, 小売業, 85
 12/23, -, 2Q, 連,3160, 大　光, 東1, 卸売業, 92
 12/23, -, 3Q, 単,3333, あさひ, 東1, 小売業, 344
 12/24, -, 3Q, 連,2925, ピックルス, 東1, 食料品, 187
 12/24, -, 1Q, 単,3174, ハピネス&D, JQ, 小売業, 26
 12/24, -, 1Q, 単,6196, ストライク, 東1, サービス業, 809
 12/24, -, 3Q, 連,8227, しまむら, 東1, 小売業," 3,355"
 12/25, 15:30, 本, 連,7965, 象　印, 東1, 電気機器," 1,338"
 12/25, -, 1Q, 連,3035, ＫＴＫ, JQ, 卸売業, 23
 12/25, -, 3Q, 連,7624, NaITO, JQ, 卸売業, 119
 12/25, -, 3Q, 連,7630, 壱番屋, 東1, 小売業," 1,759"
 12/25, -, 3Q, 連,8251, パルコ, 東1, 小売業," 1,359"
 12/26, 15:00, 本, 連,6664, オプトエレクト, JQ, 電気機器, 41
 12/26, 15:00, 3Q, 単,7611, ハイデ日高, 東1, 小売業, 844
 12/26, -, 3Q, 連,2354, YE DIGIT, 東2, 情報・通信業, 101
 12/26, -, 1Q, 連,2484, 出前館, JQ, 情報・通信業, 474
 12/26, -, 3Q, 連,2778, パレモ・HD, 東2, 小売業, 39
 12/26, -, 3Q, 連,3086, Jフロント, 東1, 小売業," 4,037"
 12/26, -, 2Q, 連,3321, ミタチ, 東1, 卸売業, 60
 12/26, -, 2Q, 連,4465, ニイタカ, 東1, 化学, 105
 12/26, -, 2Q, 連,4825, WNIウェザー, 東1, 情報・通信業, 405
 12/26, -, 3Q, 連,6279, 瑞  光, 東2, 機械, 278
 12/26, -, 1Q, 連,7447, ナガイレーベ, 東1, 卸売業," 1,006"
 12/26, -, 3Q, 連,7649, スギＨＤ, 東1, 小売業," 3,800"
 12/26, -, 2Q, 連,7921, TAKARA&C, 東1, その他製品, 222
 12/26, -, 3Q, 連,8217, オークワ, 東1, 小売業, 670
 12/26, -, 3Q, 連,8233, 高島屋, 東1, 小売業," 2,290"
 12/26, -, 3Q, 連,8276, 平和堂, 東1, 小売業," 1,227"
 12/26, -, 3Q, 単,9976, セキチュー, JQ, 小売業, 69
 12/26, -, 3Q, 連,9982, タキヒヨー, 東1, 卸売業, 190
