SYMBL,NAME,INDUSTRY,MIN_MOUNT,UNIT,FRATE
1301,極洋,水産・農林業,"282,800",100,1.37
1332,日本水産,水産・農林業,"62,400",100,5.59
1333,マルハニチロ,水産・農林業,"277,100",100,7.43
1376,カネコ種苗,水産・農林業,"132,300",100,19.67
1379,ホクト,水産・農林業,"198,000",100,0.15
1384,ホクリヨウ,水産・農林業,"65,700",100,157.5
1407,ウエストホールディングス,建設業,"131,500",100,1.41
1413,ヒノキヤグループ,建設業,"190,900",100,811
1414,ショーボンドホールディングス,建設業,"384,000",100,0.94
1417,ミライト・ホールディングス,建設業,"163,900",100,1.09
1418,インターライフホールディングス,建設業,"26,300",100,2.98
1419,タマホーム,建設業,"142,200",100,0.14
1420,サンヨーホームズ,建設業,"66,500",100,2.99
1429,日本アクア,建設業,"62,700",100,1.45
1430,ファーストコーポレーション,建設業,"63,000",100,1.63
1433,ベステラ,建設業,"124,300",100,4.75
1434,ＪＥＳＣＯホールディングス,建設業,"38,300",100,2.26
1435,ＴＡＴＥＲＵ,建設業,"17,900",100,28.17
1443,技研ホールディングス,建設業,"27,600",100,603.73
1446,キャンディル,建設業,"73,100",100,759.5
1448,スペースバリューホールディングス,建設業,"51,200",100,74.91
1514,住石ホールディングス,鉱業,"13,300",100,3.58
1515,日鉄鉱業,鉱業,"437,000",100,1.75
1518,三井松島ホールディングス,鉱業,"119,900",100,9.89
1605,国際石油開発帝石,鉱業,"101,850",100,0.87
1662,石油資源開発,鉱業,"278,300",100,0.34
1663,Ｋ＆Ｏエナジーグループ,鉱業,"146,800",100,11.17
1712,ダイセキ環境ソリューション,建設業,"72,500",100,2.58
1716,第一カッター興業,建設業,"170,500",100,7.73
1719,安藤・間,建設業,"79,400",100,2.8
1720,東急建設,建設業,"83,900",100,1.3
1721,コムシスホールディングス,建設業,"303,500",100,3
1722,ミサワホーム,建設業,"114,000",100,0.56
1724,シンクレイヤ,建設業,"100,100",100,"1,304.20"
1726,ビーアールホールディングス,建設業,"39,800",100,0.39
1762,高松コンストラクショングループ,建設業,"253,300",100,9.34
1766,東建コーポレーション,建設業,"666,000",100,0.46
1768,ソネック,建設業,"86,400",100,0.22
1780,ヤマウラ,建設業,"88,500",100,0.19
1789,ＥＴＳホールディングス,建設業,"54,500",100,3.93
1799,第一建設工業,建設業,"171,600",100,8.83
1801,大成建設,建設業,"422,500",100,4.49
1802,大林組,建設業,"108,300",100,1.07
1803,清水建設,建設業,"99,300",100,0.77
1805,飛島建設,建設業,"117,900",100,17.45
1808,長谷工コーポレーション,建設業,"126,700",100,0.87
1810,松井建設,建設業,"73,400",100,1.08
1811,錢高組,建設業,"404,500",100,3.9
1812,鹿島建設,建設業,"142,300",100,2.38
1813,不動テトラ,建設業,"122,300",100,8.32
1814,大末建設,建設業,"92,400",100,5.75
1815,鉄建建設,建設業,"279,000",100,12.2
1820,西松建設,建設業,"200,500",100,15.56
1821,三井住友建設,建設業,"56,700",100,10.48
1822,大豊建設,建設業,"288,200",100,4.28
1824,前田建設工業,建設業,"96,700",100,0.75
1826,佐田建設,建設業,"41,600",100,5.84
1827,ナカノフドー建設,建設業,"48,400",100,59.58
1833,奥村組,建設業,"293,400",100,0.95
1835,東鉄工業,建設業,"320,000",100,0.24
1840,土屋ホールディングス,建設業,"15,400",100,118.86
1847,イチケン,建設業,"167,400",100,"1,805.00"
1848,富士ピー・エス,建設業,"50,000",100,0.35
1852,淺沼組,建設業,"400,000",100,1.16
1860,戸田建設,建設業,"63,000",100,1
1861,熊谷組,建設業,"306,000",100,6.42
1865,青木あすなろ建設,建設業,"120,700",100,5.53
1866,北野建設,建設業,"233,500",100,4.07
1870,矢作建設工業,建設業,"70,600",100,3.09
1871,ピーエス三菱,建設業,"74,000",100,6.29
1873,日本ハウスホールディングス,建設業,"51,500",100,9.67
1878,大東建託,建設業,"1,385,500",100,0.11
1879,新日本建設,建設業,"77,300",100,6.78
1881,ＮＩＰＰＯ,建設業,"200,900",100,17.45
1882,東亜道路工業,建設業,"349,500",100,18.58
1883,前田道路,建設業,"241,500",100,0.26
1884,日本道路,建設業,"656,000",100,0.2
1885,東亜建設工業,建設業,"133,600",100,95.98
1888,若築建設,建設業,"152,200",100,14.75
1890,東洋建設,建設業,"47,200",100,1.74
1893,五洋建設,建設業,"59,800",100,4.13
1898,世紀東急工業,建設業,"74,000",100,259
1899,福田組,建設業,"426,500",100,46.79
1909,日本ドライケミカル,機械,"114,000",100,0.16
1911,住友林業,建設業,"143,800",100,0.34
1914,日本基礎技術,建設業,"33,100",100,1.64
1921,巴コーポレーション,建設業,"41,000",100,1.18
1925,大和ハウス工業,建設業,"357,200",100,0.99
1926,ライト工業,建設業,"141,200",100,1.59
1928,積水ハウス,建設業,"213,700",100,0.44
1929,日特建設,建設業,"64,300",100,5.77
1930,北陸電気工事,建設業,"90,000",100,23.14
1934,ユアテック,建設業,"67,600",100,0.22
1939,四電工,建設業,"282,900",100,9.67
1941,中電工,建設業,"237,000",100,1.4
1942,関電工,建設業,"98,100",100,5.95
1944,きんでん,建設業,"162,600",100,0.24
1945,東京エネシス,建設業,"88,700",100,1.35
1946,トーエネック,建設業,"351,500",100,1.22
1949,住友電設,建設業,"223,200",100,1.34
1950,日本電設工業,建設業,"225,900",100,0.53
1951,協和エクシオ,建設業,"261,500",100,3.73
1952,新日本空調,建設業,"185,900",100,0.38
1954,日本工営,サービス業,"318,000",100,0.32
1959,九電工,建設業,"363,500",100,1.83
1961,三機工業,建設業,"129,900",100,0.38
1963,日揮,建設業,"141,300",100,6.47
1964,中外炉工業,建設業,"150,900",100,9.07
1965,テクノ菱和,建設業,"77,000",100,182
1967,ヤマト,建設業,"73,400",100,1.39
1968,太平電業,建設業,"240,900",100,1.67
1969,高砂熱学工業,建設業,"179,700",100,0.13
1972,三晃金属工業,建設業,"243,000",100,18.36
1973,ＮＥＣネッツエスアイ,情報・通信業,"298,300",100,0.75
1975,朝日工業社,建設業,"299,600",100,1.92
1976,明星工業,建設業,"74,700",100,8.37
1980,ダイダン,建設業,"217,000",100,9.58
1982,日比谷総合設備,建設業,"192,000",100,0.26
1983,東芝プラントシステム,建設業,"180,200",100,0.35
2001,日本製粉,食料品,"169,700",100,3.07
2002,日清製粉グループ本社,食料品,"201,300",100,4.33
2003,日東富士製粉,食料品,"673,000",100,165
2004,昭和産業,食料品,"309,000",100,0.77
2009,鳥越製粉,食料品,"89,700",100,0.89
2053,中部飼料,食料品,"119,800",100,0.5
2055,日和産業,食料品,"24,900",100,4.28
2060,フィード・ワン,食料品,"16,500",100,58.16
2108,日本甜菜製糖,食料品,"189,000",100,2.13
2109,三井製糖,食料品,"226,100",100,0.27
2112,塩水港精糖,食料品,"20,900",100,12.71
2117,日新製糖,食料品,"195,400",100,2.56
2120,ＬＩＦＵＬＬ,サービス業,"69,000",100,1.31
2121,ミクシィ,サービス業,"227,600",100,0.88
2122,インタースペース,サービス業,"136,200",100,12.55
2124,ジェイエイシーリクルートメント,サービス業,"208,800",100,1.91
2127,日本Ｍ＆Ａセンター,サービス業,"300,000",100,1.86
2130,メンバーズ,サービス業,"183,700",100,2.19
2138,クルーズ,情報・通信業,"98,800",100,1.84
2139,中広,サービス業,"58,400",100,0.78
2146,ＵＴグループ,サービス業,"235,100",100,6.42
2148,アイティメディア,サービス業,"67,900",100,1.75
2151,タケエイ,サービス業,"104,400",100,5.73
2153,Ｅ・Ｊホールディングス,サービス業,"131,700",100,244.5
2154,トラスト・テック,サービス業,"128,800",100,11.25
2157,コシダカホールディングス,サービス業,"171,700",100,1.19
2158,ＦＲＯＮＴＥＯ,サービス業,"31,800",100,148.46
2160,ジーエヌアイグループ,医薬品,"194,300",100,315.24
2162,ｎｍｓ　ホールディングス,サービス業,"33,600",100,5.95
2168,パソナグループ,サービス業,"155,300",100,1.79
2169,ＣＤＳ,サービス業,"134,500",100,13.74
2170,リンクアンドモチベーション,サービス業,"54,800",100,0.55
2173,博展,サービス業,"61,800",100,7.8
2174,ＧＣＡ,サービス業,"73,600",100,11.26
2175,エス・エム・エス,サービス業,"267,600",100,0.72
2179,成学社,サービス業,"91,500",100,0.25
2181,パーソルホールディングス,サービス業,"207,200",100,0.91
2183,リニカル,サービス業,"99,700",100,45.68
2191,テラ,サービス業,"18,600",100,7.25
2193,クックパッド,サービス業,"30,700",100,2.13
2196,エスクリ,サービス業,"83,900",100,420.1
2198,アイ・ケイ・ケイ,サービス業,"69,900",100,1.62
2201,森永製菓,食料品,"529,000",100,0.43
2204,中村屋,食料品,"460,000",100,0.2
2206,江崎グリコ,食料品,"445,000",100,1.22
2209,井村屋グループ,食料品,"212,100",100,1.74
2211,不二家,食料品,"206,100",100,3.3
2212,山崎製パン,食料品,"195,800",100,0.19
2215,第一屋製パン,食料品,"95,300",100,1.28
2216,カンロ,食料品,"172,800",100,10.29
2217,モロゾフ,食料品,"500,000",100,0.31
2220,亀田製菓,食料品,"483,500",100,0.35
2222,寿スピリッツ,食料品,"726,000",100,0.18
2226,湖池屋,食料品,"514,000",100,8.44
2229,カルビー,食料品,"341,000",100,0.38
2264,森永乳業,食料品,"414,000",100,2.27
2266,六甲バター,食料品,"176,400",100,1.42
2267,ヤクルト本社,食料品,"617,000",100,1.77
2269,明治ホールディングス,食料品,"794,000",100,3.89
2270,雪印メグミルク,食料品,"263,700",100,4.1
2281,プリマハム,食料品,"218,200",100,0.15
2282,日本ハム,食料品,"436,000",100,1.36
2286,林兼産業,食料品,"61,700",100,60.47
2292,Ｓ　Ｆｏｏｄｓ,食料品,"302,500",100,3.12
2294,柿安本店,食料品,"210,200",100,5.25
2296,伊藤ハム米久ホールディングス,食料品,"69,500",100,4.97
2301,学情,サービス業,"144,100",100,0.25
2304,ＣＳＳホールディングス,サービス業,"39,900",100,21.97
2305,スタジオアリス,サービス業,"201,300",100,1.02
2307,クロスキャット,情報・通信業,"102,800",100,2.23
2309,シミックホールディングス,サービス業,"173,600",100,10.11
2315,カイカ,情報・通信業,"2,400",100,4.82
2317,システナ,情報・通信業,"161,900",100,2.55
2325,ＮＪＳ,サービス業,"174,800",100,2.39
2326,デジタルアーツ,情報・通信業,"729,000",100,12.66
2327,日鉄ソリューションズ,情報・通信業,"357,500",100,0.52
2331,綜合警備保障,サービス業,"567,000",100,0.4
2332,クエスト,情報・通信業,"105,200",100,389
2335,キューブシステム,情報・通信業,"78,500",100,0.32
2337,いちご,不動産業,"43,300",100,3.14
2352,エイジア,情報・通信業,"124,400",100,4.11
2353,日本駐車場開発,不動産業,"17,200",100,4.36
2359,コア,情報・通信業,"142,100",100,26.28
2362,夢真ホールディングス,サービス業,"85,900",100,0.56
2371,カカクコム,サービス業,"265,300",100,0.39
2372,アイロムグループ,サービス業,"166,400",100,8.52
2374,セントケア・ホールディング,サービス業,"51,900",100,0.1
2375,ギグワークス,サービス業,"155,300",100,160.4
2376,サイネックス,サービス業,"63,300",100,116
2378,ルネサンス,サービス業,"161,500",100,0.11
2379,ディップ,サービス業,"259,700",100,2.09
2384,ＳＢＳホールディングス,陸運業,"159,200",100,2.55
2389,オプトホールディング,サービス業,"166,100",100,0.98
2395,新日本科学,サービス業,"67,600",100,6.37
2398,ツクイ,サービス業,"43,000",100,2.29
2402,アマナ,サービス業,"76,500",100,5.74
2404,鉄人化計画,サービス業,"36,000",100,6.83
2405,ＦＵＪＩＫＯＨ,サービス業,"47,100",100,53.31
2410,キャリアデザインセンター,サービス業,"141,000",100,6.24
2411,ゲンダイエージェンシー,情報・通信業,"41,800",100,68.61
2412,ベネフィット・ワン,サービス業,"204,500",100,3.28
2413,エムスリー,サービス業,"247,800",100,2.1
2418,ツカダ・グローバルホールディング,サービス業,"60,000",100,19.39
2424,ブラス,サービス業,"66,300",100,423.5
2427,アウトソーシング,サービス業,"104,500",100,10.52
2428,ウェルネット,サービス業,"72,100",100,0.57
2429,ワールドホールディングス,サービス業,"160,000",100,6.01
