,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,OPEN_A,CLOSE_A,AXIS_LOT_SIZE,TRADE_A,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,OPEN_B,CLOSE_B,PAIR_LOT_SIZE,TRADE_B,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y,SIGMA,ABS_SIGMA,LAST_DAY_SIGMA,DEV_RATE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times,open_days,stop_profit_times,stop_loss_times,max_day_over_times,DATE_3M_ago,CLOSE_A_3M_ago,CLOSE_B_3M_ago,DATE_6M_ago,CLOSE_A_6M_ago,CLOSE_B_6M_ago,DATE_1y_ago,CLOSE_A_1y_ago,CLOSE_B_1y_ago,DATE_2y_ago,CLOSE_A_2y_ago,CLOSE_B_2y_ago
11,3099,三越伊勢丹ホールディングス,小売業,700.0,718.0,1500,BUY,7189,西日本フィナンシャルホールディングス,銀行業,745.0,750.0,1400,SELL,0.8045141332272816,0.9221646965185101,0.03064929045189112,0.02137227895859746,-1.3003898823674072,1.3003898823674072,1.452756903995584,-10.18,2.57,722233.0,51588.0,2.41,14,10,4,71.43,17.0,5,0,9,2020/03/16,601.0,535.0,2019/12/16,1024.0,880.0,2019/06/16,891.0,789.0,2018/06/16,1413.0,1282.0
9,6479,ミネベアミツミ,電気機器,1984.0,2034.0,500,SELL,1802,大林組,建設業,1017.0,1047.0,1000,BUY,0.8994015955314227,0.9309828485735486,0.3266797450865738,0.09856107507719353,1.2479628850158964,1.2479628850158964,1.1264312912501775,6.46,2.95,603454.0,40230.0,1.96,15,10,5,66.67,20.0,4,0,11,2020/03/16,1487.0,829.0,2019/12/16,2300.0,1238.0,2019/06/16,1659.0,1037.0,2018/06/16,1922.0,1166.0
6,3116,トヨタ紡織,輸送用機器,1431.0,1469.0,700,BUY,4204,積水化学工業,化学,1525.0,1568.0,700,SELL,0.88757162877224,0.947700287122914,0.2690258189334917,0.26496764370759085,-0.14827011410104626,0.14827011410104626,0.09281877788488764,-0.63,6.31,557134.0,42856.0,2.18,13,12,1,92.31,20.0,2,0,11,2020/03/16,1163.0,1233.0,2019/12/16,1821.0,1925.0,2019/06/16,1389.0,1599.0,2018/06/16,2118.0,1831.0
10,1719,安藤・間,建設業,635.0,646.0,1500,BUY,5333,日本碍子,ガラス・土石製品,1559.0,1600.0,600,SELL,0.671395437549516,0.9268084480717687,0.0024245935529493543,0.025181474511017845,-2.1977362932321416,2.1977362932321416,1.8899319784527628,-17.36,0.94,396305.0,24769.0,1.15,16,8,8,50.0,19.0,6,0,10,2020/03/16,644.0,1270.0,2019/12/16,964.0,1911.0,2019/06/16,756.0,1492.0,2018/06/16,975.0,1988.0
2,1605,国際石油開発帝石,鉱業,724.9,733.3,1500,BUY,1963,日揮,建設業,1170.0,1207.0,900,SELL,0.9627174384033688,0.968662106487443,0.315350655380366,0.026038722690587785,-2.462896685258518,2.462896685258518,1.7158240074867177,-10.32,1.26,369964.0,24664.0,1.18,15,8,7,53.33,15.0,5,1,9,2020/03/16,560.1,858.0,2019/12/16,1138.5,1791.0,2019/06/16,923.5,1423.0,2018/06/16,1150.0,2112.0
1,6301,小松製作所,機械,2179.5,2258.0,400,SELL,4208,宇部興産,化学,1890.0,1951.0,500,BUY,0.9450205918487858,0.9759180595445832,0.295959568628138,0.001185236334398034,0.737209556846405,0.737209556846405,0.3276904787050069,2.63,8.0,335996.0,42000.0,2.2,8,7,1,87.5,19.0,2,0,6,2020/03/16,1584.5,1508.0,2019/12/16,2712.0,2445.0,2019/06/16,2430.0,2103.0,2018/06/16,3261.0,3030.0
5,2501,サッポロホールディングス,食料品,2002.0,2060.0,400,BUY,1925,大和ハウス工業,建設業,2660.0,2776.5,300,SELL,0.7734109815259712,0.9481728078703464,0.6509524503220501,0.03508924569300656,-0.4392787832990346,0.4392787832990346,0.4418358161538754,-1.93,1.07,281947.0,35243.0,1.87,8,6,2,75.0,19.0,3,0,5,2020/03/16,1685.0,2358.5,2019/12/16,2733.0,3449.0,2019/06/16,2276.0,3352.0,2018/06/16,2834.0,3969.0
8,6724,セイコーエプソン,電気機器,1334.0,1406.0,600,SELL,7751,キヤノン,電気機器,2240.0,2283.0,400,BUY,0.48648609584620306,0.9343008144338922,0.7545904333595919,0.01222212683680379,2.123962103103614,2.123962103103614,1.445079004293866,15.4,7.62,218389.0,16799.0,0.92,13,9,4,69.23,21.0,3,1,9,2020/03/16,992.0,2125.0,2019/12/16,1729.0,3095.0,2019/06/16,1649.0,3149.0,2018/06/16,1896.0,3704.0
13,6506,安川電機,電気機器,3690.0,3770.0,200,SELL,6963,ローム,電気機器,7160.0,7390.0,100,BUY,0.9617954815011781,0.914677542495334,0.08213358676992794,0.06045956173958831,0.7503461854759197,0.7503461854759197,0.6044552518753908,3.92,2.03,216212.0,36035.0,1.82,6,4,2,66.67,19.0,2,0,4,2020/03/16,2479.0,5710.0,2019/12/16,4365.0,9050.0,2019/06/16,3275.0,6770.0,2018/06/16,4070.0,9370.0
3,4042,東ソー,化学,1515.0,1515.0,600,BUY,5332,ＴＯＴＯ,ガラス・土石製品,4300.0,4365.0,200,SELL,0.9403300375171006,0.9645138148609359,0.2831070170969694,0.0018601378249392033,-0.3874850040796364,0.3874850040796364,0.06031226475429013,-1.38,4.12,212903.0,21290.0,1.32,10,7,3,70.0,18.0,2,1,7,2020/03/16,1142.0,3215.0,2019/12/16,1757.0,4870.0,2019/06/16,1431.0,4175.0,2018/06/16,1771.0,5500.0
