,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,CORR_3M,CORR_1Y,OPEN_A,CLOSE_A,OPEN_B,CLOSE_B,SIGMA,ABS_SIGMA,DEV_RATE,AXIS_LOT_SIZE,PAIR_LOT_SIZE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times
128,5401,日本製鉄,鉄鋼,9064,ヤマトホールディングス,陸運業,0.9582043768077548,0.9071823514382292,1519.0,1525.5,1726.0,1675.5,3.9148096977620424,3.9148096977620424,9.76,500,500,8.95,-145453.0,-8081.0,-0.52,18,8,10,44.44
451,5411,ジェイ　エフ　イー　ホールディングス,鉄鋼,9064,ヤマトホールディングス,陸運業,0.9284046865646622,0.9211271190083122,1327.0,1310.0,1726.0,1675.5,3.2996961242377782,3.2996961242377782,10.92,600,500,6.18,-422852.0,-20136.0,-1.23,21,7,14,33.33
455,1333,マルハニチロ,水産・農林業,9064,ヤマトホールディングス,陸運業,0.9276624933749528,0.9317704380014048,2795.0,2771.0,1726.0,1675.5,3.249187278494122,3.249187278494122,10.78,300,500,0.78,282825.0,14886.0,0.87,19,13,6,68.42
503,7167,めぶきフィナンシャルグループ,銀行業,7731,ニコン,精密機器,0.9238301029605804,0.9521443966907246,272.0,269.0,1360.0,1359.0,3.0829207580662183,3.0829207580662183,8.08,3500,700,1.03,14770.0,1055.0,0.1,14,8,6,57.14
81,5214,日本電気硝子,ガラス・土石製品,7012,川崎重工業,輸送用機器,0.9643957798202925,0.9561709974036744,2415.0,2393.0,2420.0,2419.0,-3.0000754148215725,3.0000754148215725,-7.69,400,400,1.07,-224882.0,-24987.0,-1.63,9,3,6,33.33
755,7189,西日本フィナンシャルホールディングス,銀行業,9404,日本テレビホールディングス,情報・通信業,0.9000602975319364,0.9243134865184764,752.0,758.0,1428.0,1400.0,2.9803740305152564,2.9803740305152564,9.74,1300,700,0.55,-4688.0,-313.0,-0.02,15,6,9,40.0
290,7189,西日本フィナンシャルホールディングス,銀行業,7731,ニコン,精密機器,0.9423795627313076,0.9055702098679111,752.0,758.0,1360.0,1359.0,2.95901165928298,2.95901165928298,8.54,1300,700,3.58,332563.0,22171.0,1.24,15,10,5,66.67
5,7189,西日本フィナンシャルホールディングス,銀行業,8377,ほくほくフィナンシャルグループ,銀行業,0.98479461864352,0.9630383249116616,752.0,758.0,1054.0,1053.0,2.927275812404558,2.927275812404558,4.38,1300,900,3.98,6325.0,422.0,-0.04,15,9,6,60.0
477,5406,神戸製鋼所,鉄鋼,9064,ヤマトホールディングス,陸運業,0.9254838286894396,0.9264032574180447,588.0,587.0,1726.0,1675.5,2.769535005934113,2.769535005934113,10.57,1400,500,1.9,61774.0,3861.0,0.23,16,10,6,62.5
123,5803,フジクラ,非鉄金属,7259,アイシン精機,輸送用機器,0.9587145943140816,0.936808978257472,411.0,415.0,3395.0,3415.0,2.766920590516825,2.766920590516825,9.51,1600,200,2.78,76912.0,3846.0,0.1,20,12,8,60.0
429,7984,コクヨ,その他製品,9810,日鉄物産,卸売業,0.9299210073055256,0.9094143848759408,1530.0,1519.0,4285.0,4260.0,2.757896391237725,2.757896391237725,4.45,600,200,6.97,192179.0,27454.0,2.03,7,6,1,85.71
572,4005,住友化学,化学,4634,東洋インキＳＣホールディングス,化学,0.9169924577761308,0.9150643103607352,496.0,493.0,2517.0,2497.0,-2.7379496084002826,2.7379496084002826,-6.79,2000,400,1.28,-102462.0,-6027.0,-0.37,17,8,9,47.06
291,7189,西日本フィナンシャルホールディングス,銀行業,7201,日産自動車,輸送用機器,0.9423162311094736,0.9487207885561196,752.0,758.0,693.3,685.9,2.7273409357010645,2.7273409357010645,7.44,1300,1400,2.55,425422.0,26589.0,1.45,16,12,4,75.0
724,3405,クラレ,化学,4005,住友化学,化学,0.9033258030685032,0.914380296465928,1385.0,1359.0,496.0,493.0,2.6827421389484294,2.6827421389484294,4.65,700,1900,1.53,-124694.0,-8313.0,-0.49,15,6,9,40.0
261,9064,ヤマトホールディングス,陸運業,9404,日本テレビホールディングス,情報・通信業,0.9448483871965272,0.9125403208355688,1726.0,1675.5,1428.0,1400.0,-2.6102437481404492,2.6102437481404492,-11.63,500,600,0.27,-30799.0,-1467.0,-0.01,21,12,9,57.14
677,7731,ニコン,精密機器,7846,パイロットコーポレーション,その他製品,0.9074971777129232,0.9396558438416184,1360.0,1359.0,4070.0,4020.0,-2.5795424327887995,2.5795424327887995,-8.18,600,200,1.42,310847.0,22203.0,1.47,14,9,5,64.29
637,4676,フジ・メディア・ホールディングス,情報・通信業,8309,三井住友トラスト・ホールディングス,銀行業,0.9120994668845428,0.9097853673314132,1426.0,1400.0,3930.0,3932.0,-2.571142860422839,2.571142860422839,-7.21,600,200,6.82,61800.0,5150.0,0.36,12,7,5,58.33
519,4114,日本触媒,化学,7012,川崎重工業,輸送用機器,0.9221769586110068,0.9209909607141404,6310.0,6220.0,2420.0,2419.0,-2.514141506024126,2.514141506024126,-10.05,100,300,16.67,40268.0,4027.0,0.27,10,6,4,60.0
567,5401,日本製鉄,鉄鋼,7189,西日本フィナンシャルホールディングス,銀行業,0.9176523029093486,0.9264985887252274,1519.0,1525.5,752.0,758.0,-2.511761077290648,2.511761077290648,-11.64,600,1200,0.62,219570.0,11556.0,0.73,19,14,5,73.68
321,6586,マキタ,機械,9404,日本テレビホールディングス,情報・通信業,0.9394313130368782,0.9046966054780248,3350.0,3385.0,1428.0,1400.0,2.5036083249070864,2.5036083249070864,6.71,200,500,3.4,49920.0,3328.0,0.38,15,9,6,60.0
678,4676,フジ・メディア・ホールディングス,情報・通信業,8750,第一生命ホールディングス,保険業,0.9074928248429684,0.9558547312199479,1426.0,1400.0,1633.5,1640.0,-2.503082499223709,2.503082499223709,-8.28,700,600,0.41,-93646.0,-8513.0,-0.5,11,5,6,45.45
604,4676,フジ・メディア・ホールディングス,情報・通信業,8273,イズミ,小売業,0.9149193312812182,0.9082111039905244,1426.0,1400.0,4405.0,4310.0,-2.4829370489342697,2.4829370489342697,-5.33,600,200,2.55,57545.0,4427.0,0.23,13,6,7,46.15
2,5201,ＡＧＣ,ガラス・土石製品,5214,日本電気硝子,ガラス・土石製品,0.9882585916201552,0.9381038166019804,3405.0,3380.0,2415.0,2393.0,2.4690964501762998,2.4690964501762998,3.25,200,300,6.2,102655.0,14665.0,0.82,7,3,4,42.86
575,3099,三越伊勢丹ホールディングス,小売業,7201,日産自動車,輸送用機器,0.9168203159936889,0.9280817793837544,882.0,866.0,693.3,685.9,2.454752628410659,2.454752628410659,6.35,1100,1400,0.8,139333.0,9952.0,0.52,14,8,6,57.14
