,AXIS_SYMBOL,PAIR_SYMBOL,OPEN_DATE,SIGMA,OPEN_CAT,AXIS_SYMB_OPEN_PRI,AXIS_SYMB_LOT,AXIS_OPEN_MOUNT,PAIR_SYMB_OPEN_PRI,PAIR_SYMB_LOT,PAIR_OPEN_MOUNT,LOT_DIFF(%),CLOSE_DATE,OPEN_DAYS,CLOSE_CAT,AXIS_SYMB_CLOSE_PRI,PAIR_SYMB_CLOSE_PRI,AXIS_CLOSE_MOUNT,PAIR_CLOSE_MOUNT,TOTAL,COMMISSION_N,COMMISSION_CREDIT,PROFIT,PL
0,5802,5991,2017-05-12,2.48,SELL,1878.0,500,939000.0,1220,800,976000,3.94,2017-05-29,17,SL_MAX_DAY_OVER,1790.0,1167,895000.0,933600,1600.0,1540.0000000000002,2676,-2616.0,-0.14
1,5802,5991,2017-08-14,2.94,SELL,1757.0,500,878500.0,1100,800,880000,0.17,2017-08-30,16,SL_MAX_DAY_OVER,1723.0,1093,861500.0,874400,11400.0,1540.0000000000002,2313,7547.0,0.43
2,5802,5991,2018-01-22,2.17,SELL,1950.0,500,975000.0,1225,800,980000,0.51,2018-02-07,16,STOP_PROFIT_OVER_RATIO,1754.0,1102,877000.0,881600,-400.0,1540.0000000000002,2571,-4511.0,-0.23
3,5802,5991,2018-02-14,2.12,SELL,1634.0,600,980400.0,1022,1000,1022000,4.24,2018-02-28,14,STOP_PROFIT_OVER_RATIO,1733.0,1150,1039800.0,1150000,68600.0,1540.0000000000002,2304,64756.0,3.23
4,5802,5991,2018-03-15,-2.17,BUY,1630.0,600,978000.0,1102,900,991800,1.41,2018-04-02,18,SL_MAX_DAY_OVER,1620.0,1122,972000.0,1009800,-24000.0,1540.0000000000002,2914,-28454.0,-1.44
5,5802,5991,2018-04-03,-2.28,BUY,1596.0,600,957600.0,1112,900,1000800,4.51,2018-04-19,16,SL_MAX_DAY_OVER,1666.5,1192,999900.0,1072800,-29700.0,1540.0000000000002,2575,-33815.0,-1.73
6,5802,5991,2018-04-20,-2.32,BUY,1654.5,600,992700.0,1200,800,960000,3.29,2018-05-07,17,SL_MAX_DAY_OVER,1690.0,1221,1014000.0,976800,4500.0,1540.0000000000002,2728,232.0,0.01
7,5802,5991,2018-06-28,2.17,SELL,1625.0,600,975000.0,1015,1000,1015000,4.1,2018-07-18,20,STOP_PROFIT_OVER_RATIO,1680.0,1101,1008000.0,1101000,53000.0,1540.0000000000002,3271,48189.0,2.42
8,5802,5991,2018-08-03,2.07,SELL,1842.5,500,921250.0,1111,800,888800,3.52,2018-08-10,7,STOP_PROFIT_OVER_RATIO,1812.0,1192,906000.0,953600,80050.0,1540.0000000000002,1041,77469.0,4.28
9,5802,5991,2018-09-06,-2.4,BUY,1692.5,500,846250.0,1173,700,821100,2.97,2018-09-21,15,STOP_PROFIT_OVER_RATIO,1815.5,1184,907750.0,828800,53800.0,1540.0000000000002,2056,50204.0,3.01
10,5802,5991,2018-10-15,-2.09,BUY,1560.0,600,936000.0,1093,900,983700,5.1,2018-10-26,11,STOP_PROFIT_OVER_RATIO,1538.5,950,923100.0,855000,115800.0,1540.0000000000002,1736,112524.0,5.86
11,5802,5991,2018-11-09,2.13,SELL,1619.5,600,971700.0,995,1000,995000,2.4,2018-11-26,17,SL_MAX_DAY_OVER,1566.5,980,939900.0,980000,16800.0,1540.0000000000002,2748,12512.0,0.64
12,5802,5991,2019-04-08,-2.27,BUY,1527.5,600,916500.0,1060,900,954000,4.09,2019-04-24,16,SL_MAX_DAY_OVER,1519.5,1065,911700.0,958500,-9300.0,1540.0000000000002,2460,-13300.0,-0.71
13,5802,5991,2019-05-14,4.65,SELL,1355.0,700,948500.0,814,1200,976800,2.98,2019-05-30,16,SL_MAX_DAY_OVER,1321.0,804,924700.0,964800,11800.0,1540.0000000000002,2532,7728.0,0.4
