,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y,OPEN_A,CLOSE_A,OPEN_B,CLOSE_B,SIGMA,ABS_SIGMA,DEV_RATE,AXIS_LOT_SIZE,PAIR_LOT_SIZE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times
353,6770,アルプスアルパイン,電気機器,8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,0.919220566311121,0.9336995773063076,0.008284941051360909,0.3488557986963869,2053.0,2076.0,538.2,537.7,3.118871679900165,3.118871679900165,7.14,400,1500,2.87,-95865.0,-7374.0,-0.49,13,6,7,46.15
510,7272,ヤマハ発動機,輸送用機器,8002,丸紅,卸売業,0.9006320899387791,0.9515410686895188,0.07222984744035303,0.049951718759396066,1923.0,1938.0,694.9,694.1,2.862235069088808,2.862235069088808,5.87,500,1400,0.28,95816.0,5636.0,0.3,17,10,7,58.82
207,3116,トヨタ紡織,輸送用機器,6770,アルプスアルパイン,電気機器,0.9377800352440409,0.9362540706451123,0.06511940146364037,0.08437229705839744,1477.0,1484.0,2053.0,2076.0,-2.794063681061445,2.794063681061445,-7.57,600,400,7.23,81171.0,5798.0,0.37,14,8,6,57.14
488,6586,マキタ,機械,7189,西日本フィナンシャルホールディングス,銀行業,0.9031760428564612,0.918556484620616,0.05078078588992495,0.01793299999030332,3140.0,3095.0,738.0,735.0,-2.6474285588735973,2.6474285588735973,-9.55,300,1300,2.91,57303.0,4093.0,0.39,14,8,6,57.14
420,5401,日本製鉄,鉄鋼,9064,ヤマトホールディングス,陸運業,0.9120285114530929,0.9088478944740576,0.5973668423851545,0.3261627126049517,1477.5,1479.5,1613.5,1615.5,2.634679205858125,2.634679205858125,9.55,700,600,6.85,-193265.0,-10172.0,-0.64,19,8,11,42.11
359,8002,丸紅,卸売業,8601,大和証券グループ本社,証券、商品先物取引業,0.9184746831025858,0.9442660452144436,0.26618405214118745,0.4439294352928148,694.9,694.1,482.4,487.6,-2.527570721858411,2.527570721858411,-4.98,1400,2000,0.36,154527.0,9658.0,0.52,16,10,6,62.5
355,6586,マキタ,機械,7278,エクセディ,輸送用機器,0.9188323080409464,0.9386958704729428,0.22641992252072746,0.008549849510631811,3140.0,3095.0,2084.0,2092.0,-2.488396272702386,2.488396272702386,-7.48,300,400,9.88,216672.0,27084.0,1.39,8,6,2,75.0
172,3635,コーエーテクモホールディングス,情報・通信業,4612,日本ペイントホールディングス,化学,0.9421258636270986,0.928692274765728,0.38636536292283663,0.0003899022233474167,2260.0,2271.0,5690.0,5750.0,-2.474325046340607,2.474325046340607,-12.89,300,100,18.49,35256.0,2518.0,0.16,14,8,6,57.14
352,5301,東海カーボン,ガラス・土石製品,7251,ケーヒン,輸送用機器,0.9192903951517122,0.9572502008743916,0.001213910711308704,0.00010407842634588355,1075.0,1067.0,1610.0,1629.0,-2.399213570078321,2.399213570078321,-7.99,900,600,1.75,252875.0,9031.0,0.46,28,15,13,53.57
126,7202,いすゞ自動車,輸送用機器,7267,本田技研工業,輸送用機器,0.9495114231497884,0.913579904638575,0.013690967775686295,0.04401707537223323,1143.0,1148.5,2748.0,2755.0,-2.3912011989446578,2.3912011989446578,-4.83,700,300,2.73,83530.0,5221.0,0.25,16,10,6,62.5
138,6995,東海理化電機製作所,輸送用機器,7251,ケーヒン,輸送用機器,0.9477442113660068,0.929644817708934,0.4039217142899402,0.031104012746881744,1791.0,1804.0,1610.0,1629.0,-2.384859785323388,2.384859785323388,-5.37,500,600,8.36,386332.0,21463.0,1.21,18,14,4,77.78
11,7186,コンコルディア・フィナンシャルグループ,銀行業,8309,三井住友トラスト・ホールディングス,銀行業,0.9748543956708628,0.9539488917773672,0.03959205925122097,0.06176542108690858,407.0,410.0,3769.0,3770.0,2.3535241742873985,2.3535241742873985,4.02,1800,200,2.12,46130.0,2563.0,0.14,18,9,9,50.0
455,6770,アルプスアルパイン,電気機器,8601,大和証券グループ本社,証券、商品先物取引業,0.908082379202348,0.9348764938193416,0.04050940184450216,0.10772729204669107,2053.0,2076.0,482.4,487.6,2.3399894415903786,2.3399894415903786,6.74,400,1700,0.18,149065.0,7846.0,0.43,19,11,8,57.89
255,5803,フジクラ,非鉄金属,7211,三菱自動車工業,輸送用機器,0.9320649310241246,0.9129520623352848,0.11555336463849696,0.032351070475078625,410.0,410.0,467.0,468.0,2.309608768029804,2.309608768029804,8.83,2400,2100,0.12,134490.0,8406.0,0.44,16,9,7,56.25
470,9064,ヤマトホールディングス,陸運業,9404,日本テレビホールディングス,情報・通信業,0.9068751254074452,0.91409236698071,0.20905810287145046,0.19696327476483105,1613.5,1615.5,1364.0,1372.0,-2.2994878224805677,2.2994878224805677,-12.04,600,700,0.92,-77061.0,-3503.0,-0.13,22,12,10,54.55
