,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,OPEN_A,CLOSE_A,AXIS_LOT_SIZE,TRADE_A,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,OPEN_B,CLOSE_B,PAIR_LOT_SIZE,TRADE_B,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y,SIGMA,ABS_SIGMA,LAST_DAY_SIGMA,DEV_RATE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times,open_days,stop_profit_times,stop_loss_times,max_day_over_times,DATE_3M_ago,CLOSE_A_3M_ago,CLOSE_B_3M_ago,DATE_6M_ago,CLOSE_A_6M_ago,CLOSE_B_6M_ago,DATE_1y_ago,CLOSE_A_1y_ago,CLOSE_B_1y_ago,DATE_2y_ago,CLOSE_A_2y_ago,CLOSE_B_2y_ago
3444,6481,ＴＨＫ,機械,2965.0,2990.0,300,BUY,8919,カチタス,不動産業,2526.0,2563.0,300,SELL,0.8900259116797177,0.8575013350809133,0.1966823724186778,0.006811251056064604,-1.0773948899528218,1.0773948899528218,1.4786913603697045,-9.63,14.28,1124742.0,80339.0,4.0,14,10,4,71.43,12.0,10,1,3,2020/03/02,2404.0,1958.0,2019/12/02,3065.0,2425.0,2019/06/02,2150.0,2000.0,2018/06/02,3965.0,2110.0
2451,3254,プレサンスコーポレーション,不動産業,1306.0,1309.0,700,SELL,4088,エア・ウォーター,化学,1545.0,1580.0,600,BUY,0.7191666915391546,0.9008299401342261,0.31191735585175095,0.002099787056726088,0.8016624074928168,0.8016624074928168,0.8783842927539685,6.31,3.34,1104566.0,64974.0,3.04,17,11,6,64.71,16.0,7,2,8,2020/03/02,1155.0,1404.0,2019/12/02,1752.0,1712.0,2019/06/02,1352.0,1606.0,2018/06/02,1777.0,2144.0
1729,4091,大陽日酸,化学,1809.0,1875.0,500,BUY,6183,ベルシステム２４ホールディングス,サービス業,1363.0,1358.0,700,SELL,0.8154647294860388,0.9237699649960661,0.35864096502830756,0.048701415590979,-0.5887357361334016,0.5887357361334016,1.314346297066054,-3.73,1.4,1068335.0,48561.0,2.41,22,17,5,77.27,17.0,10,2,10,2020/03/02,1967.0,1312.0,2019/12/02,2456.0,1705.0,2019/06/02,2009.0,1565.0,2018/06/02,1670.0,1815.0
2960,1893,五洋建設,建設業,573.0,561.0,1800,BUY,3436,ＳＵＭＣＯ,金属製品,1662.0,1661.0,600,SELL,0.736672484266027,0.8811419756374851,0.2747985362809195,0.04652643497365204,-0.860348387291957,0.860348387291957,0.7333795227055258,-6.4,1.32,1056043.0,62120.0,3.06,17,13,4,76.47,14.0,10,4,3,2020/03/02,562.0,1662.0,2019/12/02,639.0,1692.0,2019/06/02,488.0,1169.0,2018/06/02,722.0,2669.0
1283,5201,ＡＧＣ,ガラス・土石製品,3135.0,3205.0,300,SELL,7186,コンコルディア・フィナンシャルグループ,銀行業,356.0,353.0,2700,BUY,0.6736500539648311,0.9354618294917452,0.41791257264785,0.0019531700964734973,1.0704665580771109,1.0704665580771109,0.8673500160206591,6.59,0.87,1051569.0,50075.0,2.65,21,19,2,90.48,18.0,6,0,15,2020/03/02,3105.0,360.0,2019/12/02,4010.0,445.0,2019/06/02,3380.0,406.0,2018/06/02,4565.0,638.0
3455,2503,キリンホールディングス,食料品,2270.0,2328.0,400,SELL,7984,コクヨ,その他製品,1400.0,1398.0,700,BUY,0.696244760319319,0.8569144104050547,0.00013210625771228738,0.0034498389157983415,2.340543743445647,2.340543743445647,1.6492665823289792,9.65,5.09,1033687.0,68912.0,3.48,15,12,3,80.0,18.0,8,0,7,2020/03/02,2115.5,1517.0,2019/12/02,2435.5,1634.0,2019/06/02,2368.0,1401.0,2018/06/02,3102.0,2082.0
1754,7186,コンコルディア・フィナンシャルグループ,銀行業,356.0,353.0,2900,BUY,7259,アイシン精機,輸送用機器,3455.0,3440.0,300,SELL,0.6259562267867922,0.9232009960573881,0.1250581858467401,0.06043837712789274,-0.6898470681785789,0.6898470681785789,0.5530214725634174,-5.85,0.8,1019839.0,67989.0,3.73,15,13,2,86.67,17.0,6,0,9,2020/03/02,360.0,3410.0,2019/12/02,445.0,4235.0,2019/06/02,406.0,3585.0,2018/06/02,638.0,5710.0
2797,8905,イオンモール,不動産業,1554.0,1587.0,600,BUY,9715,トランス・コスモス,サービス業,2588.0,2567.0,400,SELL,0.7639913490403625,0.8877442660739638,0.12570290589361732,0.014435300877186242,-0.9244986504586687,0.9244986504586687,1.1248405866940419,-9.13,7.27,1018355.0,78335.0,4.04,13,12,1,92.31,16.0,8,0,5,2020/03/02,1535.0,2374.0,2019/12/02,1742.0,2899.0,2019/06/02,1563.0,2340.0,2018/06/02,2083.0,2683.0
1982,5019,出光興産,石油・石炭製品,2396.0,2370.0,400,BUY,5301,東海カーボン,ガラス・土石製品,1000.0,994.0,1000,SELL,0.5326958857604586,0.9161113892199919,0.05733198407542757,1.6090925977503584e-05,-2.847864325107037,2.847864325107037,2.8444796412920894,-16.56,4.85,1006899.0,77454.0,4.33,13,12,1,92.31,16.0,8,0,5,2020/03/02,2636.0,961.0,2019/12/02,2957.0,1096.0,2019/06/02,2901.0,1052.0,2018/06/02,3765.0,2288.0
1269,1719,安藤・間,建設業,718.0,706.0,1500,SELL,8593,三菱ＵＦＪリース,その他金融業,527.0,534.0,2000,BUY,0.8119418624852841,0.9357450139675982,0.3086598277413932,0.02960926102763792,0.5115580956036168,0.5115580956036168,1.2821486634830281,1.87,0.85,1003066.0,66871.0,3.16,15,12,3,80.0,17.0,8,0,7,2020/03/02,778.0,612.0,2019/12/02,902.0,691.0,2019/06/02,709.0,529.0,2018/06/02,969.0,664.0
