DATE,OPEN,HIGH,LOW,CLOSE,Volume
2020-06-03,5960,5960,5740,5860,92100
2020-06-02,6020,6050,5850,5910,99900
2020-06-01,5700,5970,5640,5920,142600
2020-05-29,5280,5600,5270,5600,145800
2020-05-28,5300,5300,5140,5260,73800
2020-05-27,5260,5340,5210,5320,68600
2020-05-26,5350,5350,5210,5280,58200
2020-05-25,5300,5310,5240,5270,46500
2020-05-22,5330,5350,5280,5300,45900
2020-05-21,5330,5350,5250,5330,41400
2020-05-20,5260,5330,5150,5280,60100
2020-05-19,5200,5280,5150,5270,74300
2020-05-18,5030,5130,5010,5100,47000
2020-05-15,4990,5010,4885,4985,56700
2020-05-14,5080,5080,4930,5020,67000
2020-05-13,4980,5110,4980,5070,54500
2020-05-12,5080,5090,5020,5080,51000
2020-05-11,5070,5080,4995,5050,89400
2020-05-08,5030,5070,4920,5020,120900
2020-05-07,5030,5090,4930,5030,155900
2020-05-01,4820,5050,4810,4990,170400
2020-04-30,4965,4970,4775,4820,130400
2020-04-28,4790,4920,4695,4895,85200
2020-04-27,4740,4980,4735,4860,215600
2020-04-24,4655,4910,4555,4880,317500
2020-04-23,4370,4495,4295,4445,207100
2020-04-22,4385,4490,4340,4480,193100
2020-04-21,4220,4290,4175,4260,135300
2020-04-20,4185,4300,4165,4205,126400
2020-04-17,4380,4380,4200,4240,174400
2020-04-16,4330,4340,4210,4340,177300
2020-04-15,4535,4535,4360,4390,129400
2020-04-14,4635,4685,4530,4605,65300
2020-04-13,4600,4660,4505,4630,49700
2020-04-10,4595,4660,4440,4650,77700
2020-04-09,4460,4550,4325,4545,74300
2020-04-08,4385,4600,4350,4490,125500
2020-04-07,4175,4420,4175,4330,66700
2020-04-06,4135,4190,4030,4170,68900
2020-04-03,4135,4255,4020,4065,66000
2020-04-02,4195,4295,4120,4200,74600
2020-04-01,4450,4495,4200,4265,68700
2020-03-31,4505,4635,4355,4380,103600
2020-03-30,4560,4580,4375,4545,177500
2020-03-27,4450,4735,4450,4700,297000
2020-03-26,4205,4365,4120,4310,210100
2020-03-25,4220,4530,4220,4415,259200
2020-03-24,4510,4610,4215,4290,190000
2020-03-23,4670,4670,4165,4485,432300
2020-03-19,4360,4755,4305,4740,503700
2020-03-18,4050,4320,4025,4165,320900
2020-03-17,3555,4145,3515,4075,365900
2020-03-16,3755,3845,3590,3595,290400
2020-03-13,3450,3600,3240,3545,250800
2020-03-12,3505,3575,3485,3520,157700
2020-03-11,3635,3700,3555,3575,125600
2020-03-10,3595,3675,3480,3660,94100
2020-03-09,3760,3825,3635,3665,129200
2020-03-06,3985,3985,3860,3865,86900
2020-03-05,4040,4055,3950,4020,135100
2020-03-04,3935,4030,3895,3940,168800
2020-03-03,3940,3940,3805,3825,107900
2020-03-02,3700,3915,3690,3870,147900
2020-02-28,3775,3805,3705,3755,127400
2020-02-27,4000,4010,3860,3870,76900
2020-02-26,3945,3955,3855,3930,55600
2020-02-25,3995,4060,3975,3975,73300
2020-02-21,4155,4240,4155,4220,62800
2020-02-20,4195,4235,4150,4165,60800
2020-02-19,4170,4240,4170,4175,59500
2020-02-18,4180,4190,4100,4145,60200
2020-02-17,4215,4240,4150,4230,49100
2020-02-14,4335,4335,4230,4270,80700
2020-02-13,4230,4265,4225,4255,42000
2020-02-12,4265,4270,4185,4205,49900
2020-02-10,4370,4410,4280,4305,49600
2020-02-07,4395,4410,4330,4375,52600
2020-02-06,4355,4400,4315,4395,62000
2020-02-05,4320,4375,4270,4350,82600
2020-02-04,4290,4290,4175,4280,56200
2020-02-03,4120,4215,4115,4215,81200
2020-01-31,4350,4365,4230,4245,64500
2020-01-30,4395,4405,4250,4280,97200
2020-01-29,4345,4430,4300,4345,221000
2020-01-28,4850,4985,4495,4690,253100
2020-01-27,4860,4960,4860,4920,44800
2020-01-24,5030,5050,4945,4980,72700
2020-01-23,5020,5090,5020,5070,28000
2020-01-22,5060,5100,5040,5070,41500
2020-01-21,5060,5060,5010,5020,20300
2020-01-20,5000,5080,5000,5060,24400
2020-01-17,5070,5090,4985,5000,35100
2020-01-16,5150,5150,5070,5100,24000
2020-01-15,5130,5150,5040,5130,48900
2020-01-14,5130,5170,5050,5100,33400
2020-01-10,5130,5230,5130,5160,43700
2020-01-09,5170,5220,5140,5200,41200
2020-01-08,5090,5150,5030,5090,44000
2020-01-07,5070,5220,5070,5210,52100
2020-01-06,5100,5140,5050,5090,37400
2019-12-30,5150,5220,5130,5160,34100
2019-12-27,5230,5250,5200,5200,45400
2019-12-26,5180,5200,5130,5200,30700
2019-12-25,5140,5190,5120,5160,23700
2019-12-24,5180,5180,5110,5160,24400
2019-12-23,5120,5160,5090,5160,26500
2019-12-20,5070,5110,5030,5090,35800
2019-12-19,5150,5150,5040,5070,27900
2019-12-18,5110,5110,5050,5100,58300
2019-12-17,5060,5130,5000,5100,55200
2019-12-16,5060,5070,4970,4970,35800
2019-12-13,5160,5180,5040,5070,65200
2019-12-12,5000,5090,4940,5060,57500
2019-12-11,4965,5020,4960,5010,37000
2019-12-10,4955,5030,4945,5010,36700
2019-12-09,4930,4980,4885,4980,31300
2019-12-06,4910,4970,4910,4935,27300
2019-12-05,4935,4970,4910,4955,36900
2019-12-04,4850,4970,4850,4955,55400
2019-12-03,4820,4900,4805,4890,49700
2019-12-02,4940,4950,4880,4890,22400
2019-11-29,4930,4930,4855,4880,41600
2019-11-28,4965,4970,4880,4970,53700
2019-11-27,4960,4995,4900,4980,87500
2019-11-26,4880,4935,4815,4905,129000
2019-11-25,4840,4875,4805,4835,73400
2019-11-22,4740,4800,4680,4800,66300
2019-11-21,4665,4735,4605,4735,62300
2019-11-20,4650,4700,4620,4665,47400
2019-11-19,4700,4735,4625,4700,63600
2019-11-18,4570,4735,4555,4735,129800
2019-11-15,4515,4605,4475,4595,80800
2019-11-14,4480,4490,4405,4445,36300
2019-11-13,4505,4550,4440,4465,43400
2019-11-12,4465,4535,4455,4525,46000
2019-11-11,4430,4530,4425,4450,64200
2019-11-08,4430,4435,4370,4385,78600
2019-11-07,4450,4450,4350,4360,46800
2019-11-06,4380,4490,4365,4420,101900
2019-11-05,4330,4395,4305,4360,149100
2019-11-01,4380,4470,4350,4470,70100
2019-10-31,4475,4545,4365,4375,95300
2019-10-30,4400,4565,4350,4510,159300
2019-10-29,4395,4660,4305,4385,349300
2019-10-28,4520,4570,4255,4335,248000
2019-10-25,4465,4505,4435,4480,89100
2019-10-24,4415,4440,4380,4395,37900
2019-10-23,4390,4405,4320,4390,68400
2019-10-21,4340,4390,4330,4340,34900
2019-10-18,4320,4390,4305,4340,62500
2019-10-17,4290,4335,4275,4310,51800
2019-10-16,4370,4380,4240,4275,60900
2019-10-15,4280,4305,4250,4270,49000
