DATE,OPEN,HIGH,LOW,CLOSE,Volume
2020-06-01,2330,2334,2286,2288,202100
2020-05-29,2273,2331,2267,2331,435900
2020-05-28,2237,2280,2225,2277,361700
2020-05-27,2192,2235,2181,2233,329000
2020-05-26,2231,2237,2193,2215,206100
2020-05-25,2194,2230,2184,2224,233300
2020-05-22,2232,2239,2165,2173,238200
2020-05-21,2212,2256,2181,2255,390500
2020-05-20,2160,2207,2160,2197,270800
2020-05-19,2187,2197,2133,2151,261600
2020-05-18,2172,2195,2168,2188,187000
2020-05-15,2177,2205,2138,2158,266900
2020-05-14,2220,2254,2181,2181,305200
2020-05-13,2243,2283,2225,2248,589900
2020-05-12,2240,2275,2231,2270,454900
2020-05-11,2206,2243,2206,2240,173700
2020-05-08,2265,2274,2216,2225,236600
2020-05-07,2226,2264,2224,2247,353900
2020-05-01,2230,2260,2208,2226,237500
2020-04-30,2318,2333,2242,2244,405500
2020-04-28,2328,2328,2280,2322,234000
2020-04-27,2372,2391,2330,2335,290000
2020-04-24,2407,2435,2364,2385,692400
2020-04-23,2310,2379,2310,2367,557500
2020-04-22,2228,2304,2204,2291,477400
2020-04-21,2264,2278,2212,2241,222100
2020-04-20,2305,2328,2280,2284,242800
2020-04-17,2288,2338,2283,2319,574400
2020-04-16,2219,2281,2210,2275,466000
2020-04-15,2229,2229,2173,2199,215900
2020-04-14,2212,2239,2208,2222,187100
2020-04-13,2212,2236,2184,2236,257700
2020-04-10,2167,2210,2136,2203,281200
2020-04-09,2175,2180,2121,2167,404700
2020-04-08,2175,2207,2156,2186,305200
2020-04-07,2232,2259,2161,2197,389200
2020-04-06,2210,2249,2180,2219,461700
2020-04-03,2238,2290,2206,2229,536300
2020-04-02,2152,2256,2150,2228,593300
2020-04-01,2330,2330,2181,2181,1206500
2020-03-31,2230,2355,2171,2198,1308800
2020-03-30,2093,2200,2080,2199,670900
2020-03-27,1976,2159,1975,2159,916600
2020-03-26,1905,1986,1853,1962,709200
2020-03-25,1987,1990,1904,1945,758600
2020-03-24,1982,1982,1864,1932,763900
2020-03-23,2000,2029,1911,1986,568700
2020-03-19,2025,2040,1966,2006,799600
2020-03-18,1967,2060,1941,1973,1212300
2020-03-17,1780,1913,1733,1907,817000
2020-03-16,1885,1981,1800,1837,971900
2020-03-13,1650,1799,1630,1765,981800
2020-03-12,1896,1919,1827,1840,895800
2020-03-11,1993,2010,1917,1922,1039500
2020-03-10,1920,2037,1854,2006,1142900
2020-03-09,2081,2108,2006,2037,1049300
2020-03-06,2038,2179,2036,2141,1410000
2020-03-05,2130,2139,2040,2060,1108700
2020-03-04,2132,2149,2067,2131,1177800
2020-03-03,2258,2259,2143,2176,1395200
2020-03-02,2259,2317,2177,2221,2260400
2020-02-28,2435,2435,2137,2162,4154600
2020-02-27,2474,2550,2355,2517,9385600
2020-02-26,2167,2361,2073,2274,3259900
2020-02-25,2079,2089,2026,2067,432400
2020-02-21,2127,2160,2120,2136,175200
2020-02-20,2099,2152,2096,2129,268200
2020-02-19,2138,2141,2082,2103,443600
2020-02-18,2212,2218,2133,2141,618200
2020-02-17,2357,2387,2278,2293,822700
2020-02-14,2520,2600,2253,2317,1435200
2020-02-13,2240,2240,2137,2152,414900
2020-02-12,2233,2233,2129,2154,317200
2020-02-10,2240,2248,2206,2240,224300
2020-02-07,2200,2226,2194,2225,274900
2020-02-06,2160,2193,2153,2184,326700
2020-02-05,2075,2140,2034,2125,524700
2020-02-04,2021,2089,2020,2084,389200
2020-02-03,1969,2044,1969,2021,326400
2020-01-31,1999,2009,1980,1981,207800
2020-01-30,1980,1994,1967,1975,169100
2020-01-29,1992,1992,1958,1980,113300
2020-01-28,1985,2006,1974,1976,195000
2020-01-27,1971,2007,1964,2004,215200
2020-01-24,1990,1997,1977,1987,202900
2020-01-23,1963,1990,1958,1978,212300
2020-01-22,1910,1956,1904,1951,182600
2020-01-21,1931,1938,1908,1910,177000
2020-01-20,1921,1927,1915,1920,67500
2020-01-17,1917,1923,1906,1923,166900
2020-01-16,1931,1940,1904,1908,110900
2020-01-15,1931,1931,1913,1917,184000
2020-01-14,1941,1941,1919,1934,143700
2020-01-10,1927,1949,1927,1938,132000
2020-01-09,1913,1927,1909,1916,112800
2020-01-08,1895,1898,1858,1891,160000
2020-01-07,1893,1918,1892,1909,152500
2020-01-06,1885,1895,1876,1881,191800
2019-12-30,1924,1927,1904,1909,115700
2019-12-27,1928,1938,1923,1928,119800
2019-12-26,1901,1926,1901,1926,115100
2019-12-25,1921,1921,1899,1903,113100
2019-12-24,1919,1926,1893,1905,117300
2019-12-23,1924,1924,1908,1912,64500
2019-12-20,1931,1936,1911,1919,75700
2019-12-19,1924,1930,1913,1928,95600
2019-12-18,1926,1933,1916,1926,104100
2019-12-17,1914,1931,1914,1931,126400
2019-12-16,1900,1915,1897,1905,118100
2019-12-13,1927,1931,1894,1897,155800
2019-12-12,1914,1914,1892,1892,132000
2019-12-11,1921,1946,1911,1912,151400
2019-12-10,1909,1927,1900,1916,119500
2019-12-09,1922,1922,1902,1917,244000
2019-12-06,1862,1890,1861,1885,170200
2019-12-05,1871,1886,1864,1874,139100
2019-12-04,1843,1872,1838,1870,200900
2019-12-03,1854,1865,1834,1858,177800
2019-12-02,1870,1895,1870,1879,140800
2019-11-29,1887,1895,1865,1866,157500
2019-11-28,1899,1899,1872,1882,112400
2019-11-27,1878,1897,1878,1889,122400
2019-11-26,1888,1904,1875,1877,241400
2019-11-25,1884,1886,1864,1876,101000
2019-11-22,1871,1890,1868,1868,184800
2019-11-21,1879,1897,1850,1874,229600
2019-11-20,1861,1892,1857,1877,201800
2019-11-19,1824,1854,1822,1853,244300
2019-11-18,1777,1819,1773,1818,204600
2019-11-15,1752,1784,1752,1770,348600
2019-11-14,1779,1789,1760,1762,333000
2019-11-13,1812,1812,1781,1781,412500
2019-11-12,1817,1827,1806,1817,243300
2019-11-11,1816,1846,1801,1819,377700
2019-11-08,1854,1868,1801,1805,372900
2019-11-07,1857,1867,1836,1854,267700
2019-11-06,1882,1883,1833,1851,344000
2019-11-05,1865,1887,1856,1882,219600
2019-11-01,1873,1880,1856,1865,244800
2019-10-31,1897,1915,1881,1903,229700
2019-10-30,1916,1928,1889,1899,254500
2019-10-29,1917,1925,1912,1914,181000
2019-10-28,1922,1926,1890,1897,180300
2019-10-25,1920,1921,1902,1919,243300
2019-10-24,1902,1905,1886,1895,222600
2019-10-23,1856,1877,1838,1876,234100
2019-10-21,1839,1861,1834,1835,156800
2019-10-18,1840,1852,1831,1843,179600
2019-10-17,1839,1839,1811,1825,185200
2019-10-16,1844,1855,1828,1837,184300
2019-10-15,1798,1831,1794,1810,138200
2019-10-11,1767,1780,1759,1773,103500
2019-10-10,1753,1766,1736,1754,140500
2019-10-09,1748,1770,1742,1762,138600
2019-10-08,1745,1771,1742,1766,176100
2019-10-07,1740,1740,1719,1729,100200
2019-10-04,1740,1743,1710,1737,186800
2019-10-03,1790,1790,1741,1751,272800
2019-10-02,1820,1846,1820,1829,162400
2019-10-01,1789,1828,1789,1821,203400
2019-09-30,1791,1798,1772,1789,213900
2019-09-27,1829,1837,1795,1824,199400
2019-09-26,1909,1912,1859,1867,286200
2019-09-25,1866,1907,1858,1901,273200
2019-09-24,1863,1883,1846,1863,259000
2019-09-20,1841,1866,1832,1849,688200
2019-09-19,1839,1858,1832,1841,206100
2019-09-18,1834,1838,1815,1822,187800
2019-09-17,1827,1840,1814,1834,192900
2019-09-13,1816,1841,1799,1834,276200
2019-09-12,1816,1817,1796,1802,272100
2019-09-11,1769,1817,1762,1804,362700
2019-09-10,1761,1768,1750,1754,194500
2019-09-09,1752,1759,1742,1759,127400
2019-09-06,1756,1762,1744,1744,188500
2019-09-05,1759,1772,1749,1755,198800
2019-09-04,1748,1750,1722,1750,158200
2019-09-03,1742,1774,1734,1767,122900
2019-09-02,1774,1774,1746,1751,124800
2019-08-30,1742,1779,1737,1774,243700
2019-08-29,1732,1734,1708,1726,157700
2019-08-28,1748,1748,1717,1723,152200
2019-08-27,1755,1772,1750,1755,132900
2019-08-26,1740,1752,1731,1737,203500
2019-08-23,1786,1789,1778,1785,138700
2019-08-22,1786,1786,1757,1776,130800
2019-08-21,1782,1789,1777,1777,153100
2019-08-20,1774,1783,1765,1783,123200
2019-08-19,1778,1779,1767,1771,103500
2019-08-16,1735,1777,1730,1761,128100
2019-08-15,1726,1748,1724,1744,133000
2019-08-14,1751,1774,1751,1769,124100
2019-08-13,1734,1740,1716,1737,156600
2019-08-09,1751,1768,1749,1754,126100
2019-08-08,1722,1746,1702,1737,195300
2019-08-07,1724,1732,1711,1722,147900
2019-08-06,1703,1737,1688,1733,229700
2019-08-05,1782,1782,1731,1753,201500
2019-08-02,1800,1819,1786,1801,369700
2019-08-01,1831,1836,1804,1814,214200
2019-07-31,1800,1862,1789,1837,595700
2019-07-30,1789,1811,1785,1811,201800
2019-07-29,1806,1810,1776,1781,177500
2019-07-26,1783,1801,1770,1800,255900
2019-07-25,1805,1805,1788,1804,202200
2019-07-24,1811,1811,1787,1806,319800
2019-07-23,1805,1838,1794,1829,243900
2019-07-22,1806,1820,1799,1805,216700
2019-07-19,1796,1831,1789,1823,334900
2019-07-18,1842,1849,1796,1800,271600
2019-07-17,1831,1846,1822,1841,200400
2019-07-16,1860,1866,1828,1836,240100
2019-07-12,1889,1889,1855,1868,156600
2019-07-11,1866,1894,1856,1889,141800
2019-07-10,1859,1882,1846,1877,235800
2019-07-09,1926,1926,1877,1887,241300
2019-07-08,1938,1938,1906,1910,233500
2019-07-05,1998,1998,1959,1971,205600
2019-07-04,1980,2006,1973,1973,110100
2019-07-03,1991,1999,1967,1969,172600
2019-07-02,1966,1997,1960,1990,129000
2019-07-01,1934,1974,1928,1971,232900
2019-06-28,1889,1908,1879,1908,303900
2019-06-27,1859,1874,1855,1867,161200
2019-06-26,1863,1879,1846,1868,226400
2019-06-25,1899,1904,1851,1860,278400
2019-06-24,1865,1884,1865,1879,102800
2019-06-21,1908,1908,1871,1875,249000
2019-06-20,1925,1943,1914,1914,169200
2019-06-19,1884,1908,1875,1905,165600
2019-06-18,1871,1888,1857,1859,100300
2019-06-17,1880,1881,1860,1860,90200
2019-06-14,1903,1903,1881,1889,200300
2019-06-13,1915,1917,1894,1908,182600
2019-06-12,1917,1928,1907,1907,127800
2019-06-11,1953,1953,1913,1915,271100
