,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,1105500,1045500,5019,3685,300,3485,STOP_LOSS_OVER_RATIO,2017-11-22,2452,1540.0000000000002,3.78,SELL,2017-11-08,14,1015700.0,1085000.0,9503,1451.0,700,1550.0,-6.26,-133292.0,2.23,-129300.0
1,847000,750000,5019,4235,200,3750,STOP_LOSS_OVER_RATIO,2017-12-13,2302,1540.0000000000002,3.47,SELL,2017-11-24,19,741250.0,724000.0,9503,1482.5,500,1448.0,-5.67,-83592.0,2.62,-79750.0
2,900000,851000,5019,4500,200,4255,STOP_LOSS_OVER_RATIO,2017-12-25,1548,1540.0000000000002,1.18,SELL,2017-12-14,11,819000.0,861000.0,9503,1365.0,600,1435.0,-5.5,-94088.0,2.61,-91000.0
3,880000,910000,5019,4400,200,4550,SL_MAX_DAY_OVER,2018-01-16,3231,1540.0000000000002,5.69,SELL,2017-12-26,21,991200.0,961800.0,9503,1416.0,700,1374.0,2.92,54629.0,2.5,59400.0
4,829000,784000,5019,4145,200,3920,SL_MAX_DAY_OVER,2018-04-24,2617,1540.0000000000002,6.63,BUY,2018-04-03,21,752000.0,732000.0,9503,1504.0,500,1464.0,1.37,20843.0,-2.5,25000.0
5,730000,805000,5019,3650,200,4025,SL_MAX_DAY_OVER,2018-05-30,2831,1540.0000000000002,3.73,BUY,2018-05-09,21,787750.0,835000.0,9503,1575.5,500,1670.0,-1.96,-32121.0,-2.59,-27750.0
6,1002000,946000,5019,5010,200,4730,SL_MAX_DAY_OVER,2018-08-02,3250,1540.0000000000002,0.96,SELL,2018-07-12,21,961200.0,936900.0,9503,1602.0,600,1561.5,-1.94,-36490.0,2.29,-31700.0
7,1100000,999000,5019,5500,200,4995,SL_MAX_DAY_OVER,2018-08-27,3367,1540.0000000000002,4.74,SELL,2018-08-06,21,964800.0,951600.0,9503,1608.0,600,1586.0,-4.75,-92707.0,2.1,-87800.0
8,930000,990000,5019,4650,200,4950,STOP_LOSS_OVER_RATIO,2018-11-15,1173,1540.0000000000002,6.0,BUY,2018-11-08,7,1098000.0,1049400.0,9503,1830.0,600,1749.0,-5.46,-111313.0,-2.04,-108600.0
9,752000,901000,5019,3760,200,4505,STOP_LOSS_OVER_RATIO,2018-11-26,1488,1540.0000000000002,0.89,BUY,2018-11-16,10,893750.0,909000.0,9503,1787.5,500,1818.0,-7.56,-136778.0,-2.76,-133750.0
10,978000,1068000,5019,3260,300,3560,SL_MAX_DAY_OVER,2019-05-17,3673,1540.0000000000002,0.75,SELL,2019-04-26,21,1032000.0,1060000.0,9503,1290.0,800,1325.0,2.67,56787.0,2.77,62000.0
11,918000,1008000,5019,3060,300,3360,STOP_PROFIT_OVER_RATIO,2019-05-27,997,1540.0000000000002,0.48,SELL,2019-05-21,6,1063600.0,1012800.0,9503,1329.5,800,1266.0,6.84,138263.0,2.23,140800.0
12,1130000,1071200,5019,2825,400,2678,STOP_PROFIT_OVER_RATIO,2019-08-22,2786,1540.0000000000002,2.24,BUY,2019-08-06,16,1002400.0,1047200.0,9503,1253.0,800,1309.0,4.69,99274.0,-2.27,103600.0
13,873000,831600,5019,2910,300,2772,SL_MAX_DAY_OVER,2020-02-21,2930,1540.0000000000002,4.12,BUY,2020-01-31,21,886900.0,865900.0,9503,1267.0,700,1237.0,0.94,15930.0,-2.19,20400.0
14,1036000,994000,5019,2590,400,2485,STOP_PROFIT_OVER_RATIO,2020-04-07,1130,1540.0000000000002,2.49,BUY,2020-03-31,7,896000.0,969200.0,9503,1120.0,800,1211.5,5.73,112530.0,-3.1,115200.0
15,963600,970000,5019,2409,400,2425,STOP_PROFIT_OVER_RATIO,2020-05-07,3163,1540.0000000000002,1.61,BUY,2020-04-17,20,836000.0,954400.0,9503,1045.0,800,1193.0,5.58,107297.0,-2.1,112000.0
