,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,1145400,1054800,6479,1909,600,1758,SL_MAX_DAY_OVER,2017-10-18,3699,1540.0000000000002,3.15,BUY,2017-09-27,21,1136000,1088000,1802,1420,800,1360,1.74,37361.0,-2.79,42600
1,912400,947600,6479,2281,400,2369,SL_MAX_DAY_OVER,2017-12-01,3236,1540.0000000000002,2.17,SELL,2017-11-10,21,883200,927000,1802,1472,600,1545,-0.71,-13376.0,3.26,-8600
2,970000,944400,6479,2425,400,2361,SL_MAX_DAY_OVER,2018-01-04,3611,1540.0000000000002,2.29,SELL,2017-12-12,23,969500,966000,1802,1385,700,1380,-1.43,-27251.0,2.77,-22100
3,939600,945200,6479,2349,400,2363,SL_MAX_DAY_OVER,2018-03-07,3276,1540.0000000000002,0.8,SELL,2018-02-14,21,928800,952800,1802,1161,800,1191,-1.22,-23216.0,2.05,-18400
4,1139000,1088000,6479,2278,500,2176,STOP_PROFIT_OVER_RATIO,2018-05-21,3648,1540.0000000000002,3.98,BUY,2018-05-01,20,1047600,1131300,1802,1164,900,1257,5.84,129512.0,-2.21,134700
5,945500,929000,6479,1891,500,1858,SL_MAX_DAY_OVER,2018-07-10,3212,1540.0000000000002,0.32,BUY,2018-06-19,21,898400,932000,1802,1123,800,1165,2.44,45348.0,-2.37,50100
6,1040000,1018000,6479,2080,500,2036,SL_MAX_DAY_OVER,2018-08-30,3540,1540.0000000000002,1.47,SELL,2018-08-09,21,1055000,1033000,1802,1055,1000,1033,-0.25,-5080.0,2.23,0
7,1073400,1022400,6479,1789,600,1704,SL_MAX_DAY_OVER,2018-12-05,3601,1540.0000000000002,4.07,BUY,2018-11-14,21,1089000,1064000,1802,1089,1000,1064,1.0,20859.0,-2.18,26000
8,1084800,1070400,6479,1808,600,1784,STOP_PROFIT_OVER_RATIO,2019-03-04,4286,1540.0000000000002,2.97,SELL,2019-02-08,24,1215500,1102200,1802,1105,1100,1002,4.28,93074.0,2.11,98900
9,1090200,967800,6479,1817,600,1613,STOP_PROFIT_OVER_RATIO,2019-04-04,3242,1540.0000000000002,3.78,BUY,2019-03-15,20,1012500,1004400,1802,1125,900,1116,5.55,109518.0,-2.0,114300
10,879000,999500,6479,1758,500,1999,SL_MAX_DAY_OVER,2019-05-13,3386,1540.0000000000002,3.74,SELL,2019-04-22,21,917100,962100,1802,1019,900,1069,3.6,70574.0,2.3,75500
11,1052500,1040000,6479,2105,500,2080,SL_MAX_DAY_OVER,2019-11-19,3538,1540.0000000000002,2.9,SELL,2019-10-29,21,1046700,1009800,1802,1163,900,1122,0.94,19322.0,2.21,24400
12,861000,1066500,6479,1722,500,2133,SL_MAX_DAY_OVER,2020-03-11,3767,1540.0000000000002,4.64,BUY,2020-02-19,21,874800,1116000,1802,972,900,1240,1.39,30393.0,-2.01,35700
13,1012900,998900,6479,1447,700,1427,SL_MAX_DAY_OVER,2020-04-03,3491,1540.0000000000002,2.47,BUY,2020-03-13,21,1060800,1023600,1802,884,1200,853,-1.4,-28231.0,-2.1,-23200
14,1164100,994000,6479,1663,700,1420,STOP_PROFIT_OVER_RATIO,2020-04-15,1455,1540.0000000000002,2.17,BUY,2020-04-06,9,997700,972400,1802,907,1100,884,7.21,141805.0,-2.48,144800
15,967000,936000,6479,1934,500,1872,SL_MAX_DAY_OVER,2020-06-02,3257,1540.0000000000002,1.6,SELL,2020-05-12,21,1027000,951000,1802,1027,1000,951,2.13,40203.0,2.43,45000
