,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,OPEN_A,CLOSE_A,AXIS_LOT_SIZE,TRADE_A,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,OPEN_B,CLOSE_B,PAIR_LOT_SIZE,TRADE_B,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y,SIGMA,ABS_SIGMA,LAST_DAY_SIGMA,DEV_RATE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times,open_days,stop_profit_times,stop_loss_times,max_day_over_times,DATE_3M_ago,CLOSE_A_3M_ago,CLOSE_B_3M_ago,DATE_6M_ago,CLOSE_A_6M_ago,CLOSE_B_6M_ago,DATE_1y_ago,CLOSE_A_1y_ago,CLOSE_B_1y_ago,DATE_2y_ago,CLOSE_A_2y_ago,CLOSE_B_2y_ago
13,3099,三越伊勢丹ホールディングス,小売業,635.0,623.0,1700,BUY,7189,西日本フィナンシャルホールディングス,銀行業,732.0,739.0,1400,SELL,0.8313528255862073,0.8957971386824681,0.19345207225627348,0.03135112339075865,-2.263602378683046,2.263602378683046,1.7451771308066664,-22.07,2.37,722233.0,51588.0,2.41,14,10,4,71.43,17.0,5,0,9,2020/03/29,641.0,659.0,2019/12/29,984.0,857.0,2019/06/29,899.0,801.0,2018/06/29,1344.0,1229.0
9,6479,ミネベアミツミ,電気機器,1925.0,1922.0,500,SELL,1802,大林組,建設業,979.0,983.0,1000,BUY,0.8913392073005262,0.9267094833029123,0.5193276675910674,0.05968663208777705,1.0650807754131726,1.0650807754131726,1.129133648357871,5.85,2.29,603454.0,40230.0,1.96,15,10,5,66.67,20.0,4,0,11,2020/03/29,1613.0,956.0,2019/12/29,2277.0,1217.0,2019/06/29,1891.0,1074.0,2018/06/29,1845.0,1101.0
6,3116,トヨタ紡織,輸送用機器,1433.0,1455.0,700,SELL,4204,積水化学工業,化学,1489.0,1494.0,700,BUY,0.8737760379001756,0.9490019574322514,0.6801014924582511,0.16536314813716646,0.7327880470788212,0.7327880470788212,0.6063352969074483,3.01,2.61,557134.0,42856.0,2.18,13,12,1,92.31,20.0,2,0,11,2020/03/29,1315.0,1479.0,2019/12/29,1765.0,1904.0,2019/06/29,1448.0,1665.0,2018/06/29,2005.0,1855.0
2,1605,国際石油開発帝石,鉱業,672.9,659.6,1700,BUY,1963,日揮,建設業,1107.0,1093.0,1000,SELL,0.8947446510472289,0.965863281358828,0.30342417444728137,0.05912013536190584,-1.7607485366795967,1.7607485366795967,1.8380912829617868,-9.23,2.59,329655.0,21977.0,1.05,15,7,8,46.67,15.0,5,1,9,2020/03/29,599.2,872.0,2019/12/29,1136.5,1755.0,2019/06/29,992.9,1497.0,2018/06/29,1132.5,2136.0
0,6301,小松製作所,機械,2125.0,2153.0,500,SELL,4208,宇部興産,化学,1810.0,1797.0,600,BUY,0.9407681588313734,0.9761183786777121,0.011146302566980628,0.0006040311229037712,1.4825114040459162,1.4825114040459162,0.9286837904411124,5.31,0.16,326851.0,40856.0,2.15,8,7,1,87.5,19.0,2,0,6,2020/03/29,1877.5,1691.0,2019/12/29,2642.0,2379.0,2019/06/29,2658.0,2298.0,2018/06/29,3122.0,2821.0
11,1719,安藤・間,建設業,609.0,604.0,1700,BUY,5333,日本碍子,ガラス・土石製品,1467.0,1459.0,700,SELL,0.4157071692750706,0.9171988836666303,0.022804651235545426,0.1706554478433549,-1.485718441065354,1.485718441065354,1.3984707508238916,-13.1,0.54,324611.0,19095.0,0.86,17,8,9,47.06,19.0,6,0,11,2020/03/29,687.0,1452.0,2019/12/29,952.0,1904.0,2019/06/29,748.0,1607.0,2018/06/29,970.0,1926.0
3,4042,東ソー,化学,1446.0,1431.0,600,BUY,5332,ＴＯＴＯ,ガラス・土石製品,4150.0,4095.0,200,SELL,0.9469298099396557,0.964984461744841,0.38261393660889653,0.0019253131581092018,-0.11542874428443115,0.11542874428443115,0.27388248793805103,-0.4,4.84,323394.0,35933.0,2.1,9,7,2,77.78,18.0,2,0,7,2020/03/29,1244.0,3720.0,2019/12/29,1695.0,4640.0,2019/06/29,1552.0,4410.0,2018/06/29,1709.0,4930.0
8,6724,セイコーエプソン,電気機器,1197.0,1164.0,900,SELL,7751,キヤノン,電気機器,2180.0,2119.5,500,BUY,0.4566049612871726,0.9274093225450237,0.9400274447060222,0.008931570307230031,0.5345683054236533,0.5345683054236533,0.3764871391666726,4.61,1.15,314490.0,22464.0,1.23,14,10,4,71.43,20.0,4,1,9,2020/03/29,1229.0,2441.0,2019/12/29,1655.0,2986.5,2019/06/29,1721.0,3183.0,2018/06/29,1882.0,3579.0
4,2501,サッポロホールディングス,食料品,2009.0,2003.0,500,SELL,1925,大和ハウス工業,建設業,2497.5,2510.5,400,BUY,0.6516275672939494,0.9604960940458062,0.5162758962661276,0.004549209620078336,1.1376206854115147,1.1376206854115147,0.8517529386609092,4.57,0.27,281947.0,35243.0,1.87,8,6,2,75.0,19.0,3,0,5,2020/03/29,2052.0,2718.5,2019/12/29,2579.0,3390.0,2019/06/29,2327.0,3283.0,2018/06/29,2696.0,3742.0
12,6506,安川電機,電気機器,3665.0,3675.0,200,SELL,6963,ローム,電気機器,7110.0,7010.0,100,BUY,0.9516878478084918,0.907003815555623,0.05541202065641539,0.08818416828110048,1.088860329878915,1.088860329878915,0.7746769803022096,5.41,4.85,247047.0,35292.0,1.85,7,5,2,71.43,19.0,2,0,5,2020/03/29,3010.0,6200.0,2019/12/29,4170.0,8780.0,2019/06/29,3855.0,7600.0,2018/06/29,3920.0,9300.0
